Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Mặt tiền,Đường vào,Pháp lý,Nội thất,Số tầng,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-nha-mat-pho-phuong-van-phuc-1/chinh-chu-ban-him-lam-ha-dong-50m2-x-6t-mt-5m-3-o-to-do-tranh-kd-khong-loi-sat-him-lam-pr42078450,"Phường Vạn Phúc, Hà Đông, Hà Nội","18,5 tỷ",50 m²,5 phòng,6 phòng,5 m,12 m,Sổ đỏ/ Sổ hồng,Cơ bản,7 tầng,Đông - Nam,
https://batdongsan.com.vn/ban-nha-rieng-duong-kieu-mai-phuong-phu-dien/ban-nhanh-ccmn-12-phong-full-noi-that-pccc-day-du-thang-may-dong-tien-700tr-nam-lh-pr42956344,"Đường Kiều Mai, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Thỏa thuận,52 m²,12 phòng,12 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-ton-duc-thang-phuong-hang-bot-1/35m-5t-6-25ty-nga-4-cat-linh-dong-da-hn-moi-kinh-koong-pr42025835,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội","6,5 tỷ",35 m²,3 phòng,4 phòng,"4,2 m",3 m,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,Tây,Tây
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-19-5-1-phuong-van-quan/-4t-dt-240m2-mt10m-63-ty-ha-dong-pr42963081,"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",63 tỷ,240 m²,6 phòng,6 phòng,10 m,13 m,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,Đông - Nam,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/ban-long-bien-ngay-cau-chuong-3p-sang-pho-co-31m-x-6t-lh-pr42248494,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội","7,95 tỷ",31 m²,3 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-dam-quang-trung-phuong-long-bien/ban-pho-tram-ba-buoc-ra-pho-aeon-200m-lh-pr42852458,"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội","10,8 tỷ",53 m²,4 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,6 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-an-khanh-4-prj-thang-long-capital/b-nhh-2-ngu-70m-toa-t3-thg-khh-pr38475593,"Dự án Thăng Long Capital, Xã An Khánh, Hoài Đức, Hà Nội","3,8 tỷ","69,2 m²",2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,,,,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-pho-hao-nam-phuong-o-cho-dua/gap-ban-toa-chdv-20p-kk-dt-100tr-th-50m-ra-truoc-4m-pccc-83m2-pr42695827,"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",16 tỷ,82 m²,20 phòng,20 phòng,,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien/-6-x-ty-36m-5-tang-moi-dep-lung-linh-full-do-o-ngay-pr43026194,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","6,95 tỷ",34 m²,4 phòng,4 phòng,4 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-dat-xa-tien-phong-8/lo-goc-trung-hau-doai-full-tho-cu-gan-dh-tai-chinh-kdt-ha-giap-duong-100-full-ich-pr43123373,"Xã Tiền Phong, Mê Linh, Hà Nội",54 triệu/m²,"80,2 m²",,,5 m,,Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-loc-phuong-mo-lao/-vip-trung-tam-quan-ha-dong-phong-vai-phut-toi-cot-co-104m-mt-6m-33-ty-pr42345911,"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",33 tỷ,104 m²,6 phòng,6 phòng,6 m,24 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-trich-sai-phuong-thuy-khue/thien-cua-ha-gioi-via-he-rong-view-dep-nhat-78m-mt-5m-58-ty-pr42595146,"Đường Trích Sài, Phường Thụy Khuê, Tây Hồ, Hà Nội",58 tỷ,78 m²,5 phòng,6 phòng,5 m,18 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien/-34m-6-tang-hon-7-ty-ngay-chan-goldmark-pr43029652,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","7,5 tỷ",34 m²,4 phòng,4 phòng,"4,2 m","2,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoa-lam-phuong-viet-hung-2/ban-gap-long-bien-31-5m2-3pn-o-ngay-gia-4-ty-nhinh-co-thuong-luong-pr41747916,"Đường Hoa Lâm, Phường Việt Hưng, Long Biên, Hà Nội",Thỏa thuận,31 m²,3 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,,4 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-co-nhue-phuong-co-nhue-2/-5-tang-6-ty-moi-tinh-full-noi-that-15m-ra-o-to-pr43028869,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội.",6 tỷ,34 m²,4 phòng,4 phòng,5 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-nguyen-trai-phuong-thuong-dinh/ban-tap-the-thanh-xuan-70m-o-to-dung-do-sat-pho-lon-chi-3-2-ty-pr43135911,"Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội","3,2 tỷ",70 m²,3 phòng,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-ngoc-lam-2/-long-bien-56-8m2-5pn-o-to-do-cong-gi-a-6t-y-xiu-co-gia-loc-o-ngay-pr43083240,"Phường Ngọc Lâm, Long Biên, Hà Nội",Thỏa thuận,57 m²,5 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/ban-gap-93-5m2-day-thach-thao-vinhome-gia-re-nhat-thi-truong-lh-pr42501113,"Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Thỏa thuận,"93,5 m²",5 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-yen-hoa-phuong-yen-hoa-2-prj-khu-do-thi-yen-hoa/ban-moi-2pn-2wc-tai-quan-cau-giay-ha-noi-5-ty-79m2-pr43061826,"Dự án Yên Hòa, Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",5 tỷ,79 m²,2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoa-phuong-phuong-viet-hung-2-prj-vinhomes-symphony-riverside/-em-con-duy-nhat-1-3n2vs-goc-view-cong-vien-khung-long-ban-pr43146473,"Dự án Vinhomes Symphony Riverside, Đường Hoa Phượng, Phường Việt Hưng, Long Biên, Hà Nội","10,5 tỷ","93,2 m²",3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Nam,Tây - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-pho-tram-phuong-long-bien/-6t-thang-may-40m2-lo-goc-oto-cach-20m-10-ty-bien-pr42562978,"Ngõ 61, Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội","10,5 tỷ",40 m²,3 phòng,5 phòng,"7,4 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,Nam,Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-van-khe-phuong-phu-la/-vip-dt-240m-mt12m-doi-62-ty-ha-dong-pr42937734,"Đường Văn Khê, Phường Phú La, Hà Đông, Hà Nội",62 tỷ,240 m²,6 phòng,4 phòng,12 m,33 m,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,Đông - Bắc,Đông - Bắc
https://batdongsan.com.vn/ban-nha-rieng-duong-co-nhue-phuong-co-nhue-2/ban-6-3-ty-40m2-tai-gia-hiem-pr43026528,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội","6,3 tỷ",38 m²,4 phòng,4 phòng,"4,5 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-phu-phuong-mo-lao/can-ban-nh-dep-via-he-thoang-dan-tri-cao-kinh-doanh-van-phong-75m-15-ty-pr42116202,"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",15 tỷ,75 m²,4 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-loc-phuong-mo-lao/toa-8-tang-thang-may-o-to-chay-vong-8-tang-lo-goc-45m-14-5-ty-pr42804470,"Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội","10,5 tỷ",42 m²,2 phòng,2 phòng,5 m,18 m,Sổ đỏ/ Sổ hồng,Đầy đủ,1 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-thi-nham-phuong-la-khe/-dep-gia-tot-thang-may-lo-goc-van-phong-kinh-doanh-noi-that-dep-48m-13-7-ty-pr42900465,"Đường Ngô Thì Nhậm, Phường La Khê, Hà Đông, Hà Nội","13,7 tỷ",50 m²,4 phòng,5 phòng,5 m,12 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-yen-nghia-1/-4-tang-dv14-khu-b-dt50m2-mt4-4m-11-65-ty-ha-dong-pr43010785,"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội","11,65 tỷ",50 m²,4 phòng,4 phòng,"4,4 m",12 m,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,Đông - Bắc,Đông - Bắc
https://batdongsan.com.vn/ban-nha-rieng-phuong-mo-lao/can-ban-nhanb-phan-lo-via-he-50m-5-tang-mt-5m-11-8-ty-pr42692141,"Phường Mỗ Lao, Hà Đông, Hà Nội","11,8 tỷ",50 m²,5 phòng,5 phòng,5 m,12 m,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-thi-tran-tram-troi-prj-khu-do-thi-moi-lideco-bac-quoc-lo-32/ban-162m2-gia-21-5-ty-tai-kdt-32-hoai-duc-ha-noi-pr43104255,"Khu đô thị mới Lideco - Bắc Quốc lộ 32, Quốc lộ 32, Trạm Trôi, Hoài Đức, Hà Nội","21,5 tỷ",162 m²,,,9 m,,Sổ đỏ/ Sổ hồng,,,Tây - Bắc,
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/-dan-xay-moi-o-ngay-ngo-thong-o-to-qua-kinh-doanh-full-noi-that-so-hoa-hau-pr43099487,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội","8,6 tỷ",35 m²,3 phòng,5 phòng,"4,3 m",,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoa-long-phuong-minh-khai_1/-5-tang-34m-5-2-ty-gia-qua-yeu-thuong-102-pr43027269,"Đường Ngọa Long, Phường Minh Khai, Bắc Từ Liêm, Hà Nội","5,2 tỷ",32 m²,4 phòng,4 phòng,"4,3 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-thuy-phuong-phuong-thuy-phuong_2/-5-22-ty-5-tang-10m-ra-o-to-pr43028638,"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội","5,22 tỷ",34 m²,4 phòng,4 phòng,3 m,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-lien-mac-phuong-lien-mac/4-5-ty-5-tang-moi-dep-long-lanh-full-do-pr43028229,"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội","4,5 tỷ",36 m²,4 phòng,4 phòng,4 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-xuong-trach-phuong-ha-dinh/-100m2-mt-5m-5t-moi-tang-full-noi-that-xin-so-pr42801885,"Đường Bùi Xương Trạch, Phường Hạ Đình, Thanh Xuân, Hà Nội",24 tỷ,96 m²,4 phòng,6 phòng,"4,6 m",15 m,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-van-hoi-phuong-co-nhue-2/35m-5-4-ty-5-tang-di-bo-3-buoc-ra-hv-tai-chinh-pr43027888,"Phố Văn Hội, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội","5,48 tỷ",34 m²,4 phòng,4 phòng,5 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-dat-xa-phung-chau/ban-75m2-tai-chuong-my-ha-noi-gia-5-5-ty-vnd-pr43110830,"Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội","5,5 tỷ",75 m²,,,6 m,14 m,Sổ đỏ/ Sổ hồng,,,Đông - Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-mulberry-lane/chinh-chu-ban-goc-toa-land-dien-tich-154m2-pr43135908,"Mulberry Lane, Mỗ Lao, Hà Đông, Hà Nội","7,8 tỷ",154 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-khuong-mai/sieu-pham-ga-de-trung-vang-pho-thanh-xuan-pr43112914,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội","18,5 tỷ",82 m²,22 phòng,24 phòng,"4,5 m","3,5 m",Sổ đỏ/ Sổ hồng,Full nội thất.,7 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-thach-ban-1/-dep-long-lanh-150tr-1m-vai-buoc-ra-oto-tranh-nhau-pr42233119,"Phường Thạch Bàn, Long Biên, Hà Nội","4,7 tỷ",30 m²,3 phòng,4 phòng,"3,8 m","3,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-phao-dai-lang-phuong-lang-ha/ban-dong-tien-on-dinh-1-5-ty-nam-22-phong-full-noi-that-voi-nhinh-25-ty-trung-tam-dong-da-pr43086009,"Phố Pháo Đài Láng, Phường Láng Hạ, Đống Đa, Hà Nội","25,3 tỷ",80 m²,22 phòng,22 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-phuong-mai/kich-doc-pho-pham-ngoc-thach-trung-tam-quan-dong-da-oto-do-cua-46m-mt-4m-gia-11-5-ty-pr42831436,"Phường Phương Mai, Đống Đa, Hà Nội","11,5 tỷ",46 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-ha-phuong-ngoc-ha/ban-hoang-hoa-tm-ba-dinh-dien-tich-su-dung-gan-50m-mat-tien-5m-gia-tot-pr42879912,"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",13 tỷ,50 m²,6 phòng,4 phòng,5 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dai-nghia-phuong-bach-khoa/ban-oto-do-cua-kinh-doanh-44m-5t-mt-4m-thiet-ke-sieu-dep-gia-10-ty-pr42899424,"Phố Trần Đại Nghĩa, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",10 tỷ,44 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-van-phuc-phuong-van-phuc-1/ban-ha-dong-45m5t-khu-vuc-kinh-doanh-sam-uat-o-to-tranh-view-kdt-galaxy-hon-12-ty-pr43030249,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội","12,3 tỷ",45 m²,,,4 m,,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-trai-phuong-thuong-dinh-prj-royal-city/ban-gap-goc-181m2-gia-18-5-ty-re-nhat-sieu-hiem-noi-that-cao-cap-lh-pr42925241,"Royal City, Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội","17,9 tỷ",181 m²,4 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-giot-phuong-la-khe/chinh-chu-ban-ha-dong-33m-5-tang-mat-ngo-gia-4-9-ty-lh-pr42023616,"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",6 tỷ,33 m²,4 phòng,,"4,2 m",,Sổ đỏ/ Sổ hồng.,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-quyen-phuong-la-khe/ban-pl-ha-dong-dan-xay-2-mat-thong-o-to-cua-52m-x-3t-x-5-99-ty-lh-pr38125285,"Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội","9,5 tỷ",42 m²,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,3 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-duong-quang-ham-phuong-quan-hoa/-5pn-7wc-60m2-tai-gia-thoa-thuan-hang-hiem-tai-cau-giay-pr43135893,"Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội",Thỏa thuận,60 m²,5 phòng,7 phòng,6 m,8 m,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-2/-34m-6-3-ty-5-tang-dan-xay-tang-noi-that-pr43106147,"Đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","6,3 tỷ",34 m²,4 phòng,4 phòng,"3,5 m","2,5 m",Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-lien-phuong-lien-mac/32m-4-95-ty-5-tang-moi-xa-pr43119996,"Đường Hoàng Liên, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội","4,95 tỷ",32 m²,4 phòng,4 phòng,4 m,3 m,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-kim-dong-phuong-giap-bat/sieu-pham-phan-lo-7-tang-thang-may-2-mat-thoang-via-he-rong-o-to-tranh-pr43036326,"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",22 tỷ,50 m²,3 phòng,,4 m,7 m,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-dat-phuong-duong-noi/chu-can-ban-nhanh-lo-dau-gia-19ab-50m-sat-le-quang-dao-keo-dai-gia-dau-tu-10-x-ty-pr40926567,"Phường Dương Nội, Hà Đông, Hà Nội","11,8 tỷ",50 m²,,,5 m,,Sổ đỏ/ Sổ hồng,,,Đông - Nam,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-la-khe-prj-khu-do-thi-moi-an-hung/b-05-c-lk-ha-dong-vi-tri-dep-kinh-doh-gia-tot-nhat-du-18-ty-lh-pr42505902,"Khu đô thị mới An Hưng, Tố Hữu, La Khê, Hà Đông, Hà Nội",18 tỷ,83 m²,5 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-la-khe-prj-khu-do-thi-van-khe/chinh-chu-can-ban-kdt-ha-dong-dien-tich-tu-83-230m-gia-tot-hon-9ty-pr37821352,"Dự án Văn Khê, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội","19,5 tỷ",100 m²,5 phòng,4 phòng,,30 m,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-thong-nhat-complex/toi-ban-ch-95m2-3n2w-tai-toa-san-so-du-noi-that-gia-7-4-ty-pr43135025,"Dự án Thống Nhất Complex, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","7,4 tỷ",95 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Bắc,Đông - Nam
