Link,Địa chỉ,Mức giá,Diện tích,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Nội thất,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-dat-xa-minh-quang/sieu-pham-nghi-duong-tai-ba-vi-em-hoang-pr42277412,"Xã Minh Quang, Ba Vì, Hà Nội",Thỏa thuận,1.933 m²,Sổ đỏ/ Sổ hồng,,,,,20 m,,,
https://batdongsan.com.vn/ban-dat-xa-dong-xuan-2/ban-154m2-duong-rong-6m-canh-truong-doi-spring-hill-pr39480620,"Xã Đông Xuân, Quốc Oai, Hà Nội",Thỏa thuận,154 m²,,,,,,,,,
https://batdongsan.com.vn/ban-trang-trai-khu-nghi-duong-xa-cam-linh-1/ban-tai-huyen-ba-vi-ha-noi-gia-thoa-thuan-4000m2-pr42916750,"Xã Cẩm Lĩnh, Huyện Ba Vì, Hà Nội",Thỏa thuận,4.000 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-87a-xa-ba-trai/400m2-thon-7-gan-2-oto-tranh-lien-he-em-hoang-pr42916664,"Đường 87A, Xã Ba Trại, Ba Vì, Hà Nội",Thỏa thuận,400 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-414-xa-ba-trai/1-8-ty-so-huu-sieu-pham-383m2-thon-6-cach-86-chi-50-met-pr42823474,"Thôn 6, Đường Tỉnh lộ 414, Xã Ba Trại, Ba Vì, Hà Nội","1,78 tỷ",383 m²,Sổ đỏ/ Sổ hồng,,,,8 m,5 m,,Đông - Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-khu-nha-o-90-nguyen-tuan/chinh-chu-ban-71-22m2-bc-dong-nam-90-gia-29-trieu-m2-lh-0979495339-pr25949177,"Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","5,8 tỷ","71,22 m²",Đã có sổ đỏ.,2 phòng,2 phòng,,,,Đầy đủ nội thất.,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-nguy-nhu-kon-tum_1-phuong-nhan-chinh-prj-hei-tower/-chu-ban-3pn-dt99m2-heitower-so-1-kontum-gia-3-8-ty-bao-phi-pr38102110,"Hei Tower Điện Lực, số 1, Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",7 tỷ,"103,6 m²",Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,,,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-chuong-duong/ban-q-hoan-kiem-60m-x-4pn-cach-pho-15m-cach-ho-guom-5p-thoang-sang-gia-chi-11-7-ty-pr43106134,"Đường Bạch Đằng, Phường Chương Dương, Hoàn Kiếm, Hà Nội","11,7 tỷ",60 m²,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,,,,Đầy đủ,,
https://batdongsan.com.vn/ban-dat-xa-di-trach/18-4-ty-co-the-cho-thue-manh-160m2-mat-tien-14m-2-mat-duong-duong-9m-dv-hd-pr42353254,"Xã Di Trạch, Hoài Đức, Hà Nội","24,3 tỷ",180 m²,Sổ đỏ/ Sổ hồng,,,,12 m,9 m,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/chinh-chu-ban-vuon-b27-o40-b-geximco-so-120m-mat-tien-6m-gia-20-5-ty-pr42450535,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","20,8 tỷ",120 m²,Sổ đỏ,,,,6 m,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-khuong-mai-prj-the-artemis/chinh-chu-ban-2pn-dt86m2-gia-4-ty-lh-0932392256-pr33903791,"Dự án The Artemis, Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội","6,5 tỷ",80 m²,,2 phòng,2 phòng,,,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-tay-son-phuong-trung-liet/phan-lo-oto-tranh-kd-vo-doi-ngo-thong-tu-phia-dan-chi-cao-don-da-70m-5t-gia-20-5-ty-pr43106208,"Đường Tây Sơn, Phường Trung Liệt, Đống Đa, Hà Nội","20,5 tỷ",70 m²,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,5 tầng,"4,5 m",6 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-van-xuan-xa-di-trach/5-16-ty-khong-o-thi-cho-thue-can-43m2-x-3-6m-x-5t-x-6pn-3m-ngo-7-lai-xa-pr42352796,"Ngõ 7, Đường Vạn Xuân, Xã Di Trạch, Hoài Đức, Hà Nội","6,3 tỷ",45 m²,Sổ đỏ/ Sổ hồng,6 phòng,4 phòng,5 tầng,"3,8 m",3 m,Cơ bản,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-gap-16-5t-y-giam-con-15-7-ty-can-goc-b21-o24-da-hoan-thien-2-vuon-hoa-pr42863673,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Thỏa thuận,60 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-ha-noi-center-point/-chu-ban-goc-08-dn1-centerpoint-gia-3-ty-lh-0965551255-pr28599794,"Dự án Hà Nội Center Point, 27 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội","5,5 tỷ",65 m²,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,,,Đầy đủ,,Đông - Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-don-lap-d44-18-can-goc-vuon-hoa-d-gia-35-5-ty-re-hon-can-khac-3-ty-pr43079633,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","35,5 tỷ",295 m²,Sổ đỏ,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-hoa-thach-xa-hoa-thach/-nen-130m2-tai-quoc-oai-ha-noi-gia-t-thuan-hang-hot-pr42917280,"Đường Hoà Thạch, Xã Hòa Thạch, Quốc Oai, Hà Nội",Thỏa thuận,130 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-vuon-c-so-c3-o50-so-120m-mat-tien-6m-gia-23-ty-pr43068616,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",23 tỷ,120 m²,,,,,6 m,,,,
https://batdongsan.com.vn/ban-dat-duong-87a-xa-ba-trai/n-5800m2-tai-vi-ha-noi-gia-thoa-thuan-pr42917563,"Đường 87A, Xã Ba Trại, Ba Vì, Hà Nội",Thỏa thuận,5.800 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-lai-xa-xa-di-trach/5-13-ty-dau-tu-y-ccmn-o-54m2-mat-tien-4-2m-3m-cach-oto-20m-hd-pr42352755,"Đường Lai Xá, Xã Di Trạch, Hoài Đức, Hà Nội","8,05 tỷ",70 m²,Sổ đỏ/ Sổ hồng,,,,5 m,3 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-ngan-phuong-trung-hoa-4/ban-pho-quan-cau-giay-dt-65m-6-tang-mt-4-5m-ngo-2-o-to-tranh-pr42714235,"Đường Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội",Thỏa thuận,65 m²,Sổ đỏ/ Sổ hồng,,,6 tầng,"4,5 m",,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-phuong-phuong-phuong-canh/5-2-ty-moi-o-ngay-can-40m2-mat-tien-3-8m-x-5t-x-6pn-3m-ngo-84-ntl-pr42369288,"Ngõ 84, Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội","6,3 tỷ",42 m²,Sổ đỏ/ Sổ hồng,6 phòng,4 phòng,5 tầng,"3,8 m",3 m,Cơ bản,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-vu-tong-phan-phuong-khuong-mai/cc-ban-nga-tu-so-dt70m-chi-24-ty-nhinh-2-thoang-1-1-ngo-pr42650644,"Phố Vũ Tông Phan, Phường Khương Mai, Thanh Xuân, Hà Nội",350 triệu/m²,70 m²,Sổ đỏ/ Sổ hồng,,,9 tầng,5 m,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thai-phuong-khuong-mai/41-ty-pho-to-vinh-dien-ngo-2-oto-an-ninh-an-sinh-tuyet-quan-thanh-xuan-pr42983030,"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",41 tỷ,110 m²,Sổ đỏ/ Sổ hồng,,,,"4,7 m",,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-van-lai-phuong-my-dinh-1-prj-the-manor-ha-noi/ban-can-khu-do-thi-dien-tich-145m2-mat-tien-7m-pr40426467,"Dự án The Manor, Đường Trần Văn Lai, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",49 tỷ,142 m²,"- Sổ đỏ vuông vắn, chủ thiện chí bán.",4 phòng,4 phòng,4 tầng,7 m,20 m,Đầy đủ.,,
https://batdongsan.com.vn/ban-nha-rieng-duong-de-la-thanh_1-phuong-lang-thuong/cuc-pro-thanh-dong-da-dien-tich-32-dua-ra-36m-6-tang-mat-tien-8-4m-7-9-ty-pr42875463,"Đường Đê La Thành, Phường Láng Thượng, Đống Đa, Hà Nội","7,9 tỷ",32 m²,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,6 tầng,"8,4 m",15 m,Đầy đủ,,
https://batdongsan.com.vn/ban-dat-xa-yen-my-4/ban-manh-thanh-tri-dien-tich-135m2-mat-tien-9-5m-chia-lo-cuc-dep-gia-65-tr-pr42728715,"Xã Yên Mỹ, Thanh Trì, Hà Nội",65 triệu/m²,135 m²,Sổ đỏ/ Sổ hồng,,,,"9,5 m",3 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-xuan-dinh/ban-ngo-thong-phan-lo-gara-oto-kinh-doanh-55mx5tang-14-8ty-pr42765695,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","7,5 tỷ",40 m²,Sổ đỏ,3 phòng,4 phòng,5 tầng,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/ban-phan-lo-via-he-o-to-tranh-kinh-doanh-dinh-55m2-x-4-tang-chi-15-85-ty-pr42910771,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội","15,85 tỷ",55 m²,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,4 tầng,"4,5 m",10 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-pho-hue/ban-chua-vua-hai-ba-trung-dien-tich-65-5m2-5-tang-thang-may-dep-long-lanh-pr42919721,"Phường Phố Huế, Hai Bà Trưng, Hà Nội","13,8 tỷ","65,5 m²",Sổ đỏ/ Sổ hồng,7 phòng,7 phòng,5 tầng,4 m,3 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-luong-bang-1-phuong-o-cho-dua/ban-trung-tam-dong-da-gan-dai-hoc-34-2m-7-65-ty-pr43093702,"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","7,65 tỷ","34,2 m²",Sổ đỏ/ Sổ hồng,2 phòng,3 phòng,3 tầng,"4,6 m",,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoa-long-phuong-minh-khai_1/6-ty-moi-o-ngay-can-40m2-mat-tien-3-6m-x-5-tang-x-6pn-3m-khai-pr43103815,"Đường Ngọa Long, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",6 tỷ,40 m²,Sổ đỏ/ Sổ hồng,6 phòng,4 phòng,5 tầng,"3,6 m",3 m,Cơ bản,,
https://batdongsan.com.vn/ban-dat-duong-dao-cam-moc-xa-uy-no/can-ban-gap-100m2-ngo-95-dong-anh-oto-tranh-gia-8-xxty-co-thuong-luong-pr43106116,"Đường Đào Cam Mộc, Xã Uy Nỗ, Đông Anh, Hà Nội","8,98 tỷ",100 m²,Sổ đỏ/ Sổ hồng,,,,7 m,,,,
https://batdongsan.com.vn/ban-dat-duong-nguyen-xa-phuong-minh-khai_1/14-25-ty-chia-lo-y-ccmn-manh-150m2-mat-tien-12m-2-8m-khai-pr42384038,"Đường Nguyên Xá, Phường Minh Khai, Bắc Từ Liêm, Hà Nội","18,4 tỷ",160 m²,Sổ đỏ/ Sổ hồng,,,,12 m,"2,8 m",,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-hoi-thi-tran-van-dien/-5-tang-ngo-373-tt-dien-pr42969488,"Ngõ 373, Đường Ngọc Hồi, Thị trấn Văn Điển, Thanh Trì, Hà Nội","9,7 tỷ",58 m²,Sổ đỏ/ Sổ hồng.,4 phòng,4 phòng,5 tầng,5 m,3 m,Đầy đủ,Đông - Nam,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/co-hoi-vang-ban-dep-4-tang-co-thang-may-chi-8-3-ty-pr43003618,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội","8,3 tỷ",45 m²,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,,"4,5 m",4 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-my-dinh-2/hiem-ban-gap-truoc-ram-cu-kinh-doanh-mat-tien-rong-o-to-ng-pr43103054,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",12 tỷ,48 m²,Sổ đỏ/ Sổ hồng,,,,4 m,,Cơ bản,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quynh-do-xa-vinh-quynh/-dep-day-du-cong-nang-co-thang-may-xin-lo-goc-tdc-thanh-tri-pr43028462,"Đường Quỳnh Đô, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội","7,4 tỷ",50 m²,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,5 tầng,4 m,3 m,Cơ bản,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vinh-hung-phuong-thanh-tri-prj-green-park-vinh-hung/ban-dien-tich-125m2-5-tang-thang-may-gia-tot-lo-goc-via-he-o-to-pr42988903,"Dự án Green Park Vĩnh Hưng, Đường Vĩnh Hưng, Phường Thanh Trì, Hoàng Mai, Hà Nội","24,9 tỷ",125 m²,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,5 tầng,"9,2 m",10 m,,,
https://batdongsan.com.vn/ban-dat-duong-bai-dai-1-xa-tien-xuan/chinh-chu-can-ban-dep-view-dep-tai-xuan-pr43106189,"Đường Bãi Dài, Xã Tiến Xuân, Thạch Thất, Hà Nội",Thỏa thuận,1.280 m²,Sổ đỏ/ Sổ hồng,,,,25 m,15 m,,Tây - Nam,
https://batdongsan.com.vn/ban-nha-rieng-pho-dai-la-phuong-bach-khoa/ban-dep-long-nh-khong-ty-vet-sieu-pham-luxury-cach-mat-30m-lo-goc-3-mat-pr43074044,"Phố Đại La, Phường Bách Khoa, Hai Bà Trưng, Hà Nội","11,4 tỷ",60 m²,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,4 tầng,"4,2 m","2,5 m",Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-nghia-tan-3/phan-lo-56m2-xay-7-tang-thang-may-cach-pho-15m-gia-cuc-soc-pr43106188,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội","25,7 tỷ",56 m²,Sổ đỏ,,,7 tầng,5 m,,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-bach-mai/chinh-chu-ban-dien-tich-58-5m2-4-tang-o-luon-gia-tot-pr43008111,"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội","10,9 tỷ",58 m²,Sổ đỏ/ Sổ hồng,5 phòng,4 phòng,4 tầng,5 m,3 m,Cơ bản,,
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-414-xa-ba-trai/2-8-ty-so-huu-manh-dep-nhu-mot-buc-tranh-o-vi-561m2-co-150m2-o-mat-tien-28m-pr43066638,"Đường Tỉnh lộ 414, Thôn 8, Xã Ba Trại, Ba Vì, Hà Nội","2,7 tỷ",561 m²,Sổ đỏ/ Sổ hồng,,,,28 m,6 m,,Đông - Nam,
https://batdongsan.com.vn/ban-nha-rieng-pho-lac-trung-phuong-thanh-luong/ban-khu-phan-lo-dien-tich-52m2-6-tang-dep-o-luon-gia-mem-rat-hiem-khu-vip-pr43106186,"Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội","18,7 tỷ",52 m²,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,6 tầng,5 m,8 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-troi-phuong-phuong-liet/ban-lo-goc-via-he-o-to-tranh-dt-85m2-mt-8m-gia-37-5-ty-pr43106099,"Đường Nguyễn Văn Trỗi, Phường Phương Liệt, Thanh Xuân, Hà Nội","37,5 tỷ",85 m²,Sổ đỏ/ Sổ hồng,10 phòng,10 phòng,8 tầng,8 m,12 m,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-van-noi-xa-van-noi/ban-3-tang-dong-anh-dt-100m-pr43106095,"Đường Vân Nội, Xã Vân Nội, Đông Anh, Hà Nội","5,7 tỷ",100 m²,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,3 tầng,5 m,3 m,Cơ bản,Đông,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-duc-canh-phuong-tuong-mai/-cuc-hiem-duoi-6-ty-4-tang-noi-that-dep-pho-truong-dinh-den-lu-quan-hoang-mai-pr43106173,"Đường Nguyễn Đức Cảnh, Phường Tương Mai, Hoàng Mai, Hà Nội","5,9 tỷ",27 m²,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,4 tầng,"3,4 m","2,5 m",Đầy đủ,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-kim-xuyen-phuong-yen-hoa-2-prj-khu-do-thi-yen-hoa/ban-can-lao-thanh-cach-mang-120m2-mt-10m-5-tang-dan-tri-cao-pr40628711,"Dự án Yên Hòa, Đường Trần Kim Xuyến, Phường Yên Hòa, Cầu Giấy, Hà Nội",54 tỷ,120 m²,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,5 tầng,10 m,20 m,Đầy đủ,Đông - Nam,Đông - Nam
https://batdongsan.com.vn/ban-nha-mat-pho-duong-cu-khoi-phuong-cu-khoi/ban-7-tang-thang-may-kinh-doanh-phan-lo-thach-ban-40m2-10m-noi-that-luxxurry-pr43096008,"Đường Cự Khối, Phường Cự Khối, Long Biên, Hà Nội","9,95 tỷ",40 m²,Sổ đỏ/ Sổ hồng,4 phòng,7 phòng,7 tầng,5 m,10 m,Luxxurry,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quan-hoa-phuong-quan-hoa/ban-ccmn-cau-giay-moi-tinh-gan-pho-48m2-6t-10pkk-thu-50tr-thang-pr42581972,"Ngõ 225, Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",10 tỷ,48 m²,Sổ đỏ/ Sổ hồng,10 phòng,11 phòng,6 tầng,,,Đầy đủ,,
