Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/sieu-re-song-lap-san-ho-gan-ho-gan-cong-vien-tai-oceanpark-1-pr43108354,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội","27,5 tỷ",150 m²,,,,Tây - Bắc,,10 m,,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/em-ban-toa-s4-2pn-2wc-76-8m2-nha-full-do-moi-100-y-hinh-san-so-lh-ms-ngan-pr43113873,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","5,6 tỷ","76,8 m²",3 phòng,2 phòng,,Tây,Đông,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-do-phuong-phu-do/chinh-chu-ban-dt-178m2-mt-7-4m-gan-cong-vien-me-tridu-an-to-hop-my-dinh-pearl-pr43087656,"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội","42,8 tỷ",178 m²,,,,,,"7,4 m",,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-thi-tran-dong-anh-1-prj-happy-land-1-5-dong-anh/cuc-pham-7-tang-kdt-thang-may-gia-chi-12-5-ty-pr42986729,"Dự án Happy Land Đông Anh, Thị trấn Đông Anh, Đông Anh, Hà Nội","12,5 tỷ",70 m²,5 phòng,6 phòng,7 tầng,,,"5,5 m",13 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-an-duong-vuong-phuong-phu-thuong-1/b-440m-mat-pho-mat-tien-16m-sat-lotte-tay-ho-vo-chi-cong-54-ty-pr42830333,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",54 tỷ,440 m²,,,,,,16 m,20 m,Hợp đồng mua bán,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-linh-nam-phuong-mai-dong-1-prj-vinhomes-times-city-park-hill/ban-3pn-sang-dep-cc-110m2-11-ty-lh-pr43088905,"Vinhomes Times City - Park Hill, Lĩnh Nam, Mai Động, Hoàng Mai, Hà Nội",11 tỷ,110 m²,3 phòng,2 phòng,,Đông - Bắc,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-phuong-dai-kim/-phan-lo-ban-co-thoang-truoc-va-thoang-sau-3-o-to-tranh-via-he-2-ben-kd-dinh-pr41363073,"Phường Đại Kim, Hoàng Mai, Hà Nội","17,85 tỷ",55 m²,4 phòng,3 phòng,5 tầng,,,5 m,,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-duong-kim-giang-phuong-dai-kim/ban-phan-lo-15m-o-to-tranh-kinh-doanh-dinh-pr42141311,"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội","9,85 tỷ",50 m²,6 phòng,4 phòng,5 tầng,,,"4,1 m",,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ly-son-phuong-gia-thuy-prj-khai-son-city/can-ban-gap-tien-pho-111m2-lo-goc-3-mat-thoang-lh-0989386638-pr30465169,"Dự án Khai Sơn City, Đường Lý Sơn, Phường Gia Thụy, Long Biên, Hà Nội",Thỏa thuận,123 m²,6 phòng,6 phòng,5 tầng,Tây,Tây - Nam,7 m,30 m,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-prj-richland-southern/ban-cc-cau-giay-ha-noi-6-8-ty-95m2-pr43088805,"Richland Southern, Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội","6,8 tỷ",95 m²,2 phòng,2 phòng,,Tây,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-duong-noi-prj-icid-complex/-cc-ban-gap-tai-3-735-ty-68m2-2pn-2wc-pr42402165,"Dự án ICID Complex, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","3,74 tỷ",68 m²,2 phòng,2 phòng,,Đông - Nam,Tây - Bắc,,,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-dat-xa-bat-trang-1/ban-41m-dong-du-o-to-7-cho-vao-chi-3-6-ty-pr41014249,"Xã Đông Dư, Gia Lâm, Hà Nội",4 tỷ,41 m²,,,,,,,,Sổ đỏ,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-dai-tu-phuong-dai-kim/-vip-view-linh-dam-ho-long-gio-kinh-doanh-sam-uat-ngay-dem-thong-san-pr41351051,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội","16,8 tỷ",45 m²,3 phòng,3 phòng,5 tầng,,,"4,6 m",15 m,Sổ đỏ/ Sổ hồng,Đầy đủ.
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-thach-hoa-1-prj-phenikaa-hoa-lac/-1pn-45m2-tang-trung-re-nhat-so-hong-lau-dai-noi-that-co-ban-gia-nhinh-1-4-ty-pr43088896,"Phenikaa Hòa Lạc, Xã Thạch Hòa, Thạch Thất, Hà Nội","1,45 tỷ",45 m²,1 phòng,1 phòng,,,Đông,,,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-xa-ta-thanh-oai/chinh-chu-em-ban-can-32m-5-ng-gia-3-4-ti-xay-doc-lap-thiet-ke-xin-dep-pr43088840,"Xã Tả Thanh Oai, Thanh Trì, Hà Nội.","3,4 tỷ",32 m²,3 phòng,,5 tầng,,,,,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-quan-hoa/re-hiem-ban-2-thoang-37m2-5m-ra-o-to-tranh-dan-xay-5-tang-dep-tang-noi-that-xin-pr43088702,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội","7,5 tỷ",36 m²,3 phòng,4 phòng,5 tầng,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-van-thai-phuong-khuong-trung/ban-thuc-102m-phan-lo-quan-doi-san-vuon-o-to-tranh-do-26-ty-pr42733162,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",26 tỷ,102 m²,4 phòng,6 phòng,4 tầng,,,5 m,8 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-vo-chi-cong-phuong-xuan-la/ban-lo-vip-110m-mat-ngo-rong-2-lan-o-to-via-he-sat-starlake-kinh-doanh-17-5-ty-pr42767641,"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội","17,5 tỷ",110 m²,,,,,,5 m,25 m,Hợp đồng mua bán,
https://batdongsan.com.vn/ban-nha-rieng-phuong-thinh-liet/ban-truong-dinh-52m2-12-ty-ngo-thong-gan-pho-pr42987539,"Phường Thịnh Liệt, Hoàng Mai, Hà Nội",12 tỷ,52 m²,8 phòng,,5 tầng,,,,,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-dang-xuan-bang-phuong-dai-kim/hiem-lam-luon-kinh-doanh-via-he-oto-dung-do-pr38740753,"Đường Đặng Xuân Bảng, Phường Đại Kim, Hoàng Mai, Hà Nội","18,5 tỷ",65 m²,4 phòng,3 phòng,4 tầng,,,"4,5 m",13 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-rieng-pho-chua-lang-phuong-lang-thuong/cuc-hiem-phan-lo-o-to-82-65m2-mat-tien-5-4m-x-6-tang-thong-san-so-do-no-hau-chi-24-5-ty-pr42795148,"Ngõ 82, Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội","24,5 tỷ",65 m²,,,6 tầng,,,"5,4 m",8 m,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-dinh-prj-n03-t3-t4-ngoai-giao-doan/ban-goc-3pn2wc-1-157m2-bancong-tay-bac-tai-t3b-em-duc-pr42902535,"N03-T3&T4 Ngoại Giao Đoàn, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",95 triệu/m²,157 m²,3 phòng,2 phòng,,,Tây - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-kieu-ky-xa-kieu-ky/sieu-dep-ban-tai-dinh-cu-gia-lam-80m2-via-he-o-to-tai-tranh-nhau-chi-4-8-ty-pr39279636,"Đường Kiêu Kỵ, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",8 tỷ,80 m²,,,,,,"4,5 m",6 m,,
https://batdongsan.com.vn/ban-nha-rieng-duong-giap-bat-phuong-giap-bat/ban-12-5-ty-49m2-7pn-thang-may-gan-o-to-pr42998282,"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội","12,5 tỷ",49 m²,7 phòng,,6 tầng,,,"6,3 m",,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tu-hiep-xa-tu-hiep/-via-he-kinh-doanh-suot-ngay-dem-pr40481238,"đường Tứ Hiệp, Xã Tứ Hiệp, Thanh Trì, Hà Nội","13,8 tỷ",45 m²,4 phòng,3 phòng,4 tầng,,,"4,5 m",21 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-21a-xa-dong-xuan-2/chu-gui-ban-lo-tho-cu-view-ho-454m2-lap-thanh-quoc-oai-ha-noi-pr39584853,"Thôn Lập Thành, Đường 21A, Xã Đông Xuân, Quốc Oai, Hà Nội",Thỏa thuận,454 m²,,,,,,"12,8 m",,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-yen-nghia-1-prj-chung-cu-ct3-yen-nghia/-goc-3pn-2vs-gan-dai-hoc-phenika-va-benh-vien-nhi-ha-noi-pr42920628,"Dự án CT3 Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội","3,9 tỷ","77,4 m²",3 phòng,2 phòng,,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-rieng-phuong-dai-kim/phan-lo-vip-hai-thoang-truoc-sau-via-he-o-to-tranh-dung-do-gan-pho-kd-pr42915913,"Phường Đại Kim, Hoàng Mai, Hà Nội","16,9 tỷ",60 m²,6 phòng,4 phòng,4 tầng,,,"4,3 m",8 m,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-mat-pho-xa-bat-trang-1/ban-truc-chinh-dong-du-37m2-4-tang-kinh-doanh-dinh-chi-5-5-ty-pr42595776,"Xã Bát Tràng, Gia Lâm, Hà Nội","5,5 tỷ",37 m²,,,4 tầng,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-dat-duong-vo-chi-cong-phuong-xuan-la/ban-218m-thong-lac-long-quan-mat-ngo-to-nhu-pho-o-to-tranh-via-he-rong-42-ty-pr42765915,"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",42 tỷ,218 m²,,,,,,10 m,20 m,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-trong-tue-xa-ta-thanh-oai-prj-chung-cu-dai-thanh/b-a-n-2-ngu-wc-noi-that-du-o-luon-pr42874457,"Chung cư Đại Thanh, Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội","2,2 tỷ",56 m²,2 phòng,2 phòng,,,,,,Hợp đồng mua bán,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-da-ton-xa-da-ton/-dep-ban-41m-tho-cu-mt-4-3m-no-hau-chi-3-3-ty-pr42185275,"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội","3,5 tỷ",40 m²,,,,,,"4,3 m","2,5 m",Sổ đỏ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-quoc-viet-phuong-nghia-do-1/ban-quan-doi-101m-mat-tien-6-66m-gara-2-o-to-34-ty-pr42847254,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",34 tỷ,101 m²,5 phòng,6 phòng,4 tầng,,,"6,66 m",6 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-cau-den/ban-gan-dai-hoc-kinh-te-khoa-ngo-rong-gia-chi-8-ty-pr43089133,"Phố Bạch Mai, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",8 tỷ,43 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-bang-a-phuong-hoang-liet-prj-tay-nam-ho-linh-dam/-san-vuon-dang-cap-kdt-view-cong-vien-pr39130371,"Dự án Tây Nam Hồ Linh Đàm, Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","41,5 tỷ",200 m²,5 phòng,6 phòng,4 tầng,,,10 m,20 m,Sổ đỏ/ Sổ hồng,Cao cấp.
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-la-khe/ban-5-tang-xay-moi-full-noi-that-6-8-ty-pr42980575,"Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội","6,8 tỷ",31 m²,3 phòng,4 phòng,5 tầng,,,"3,5 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-phuc-loi-phuong-phuc-loi/chinh-chu-can-ban-gap-mat-pho-90m2-19-89-ty-sdcc-tl-pr43088872,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội","19,89 tỷ",90 m²,,,,,,"5,5 m",20 m,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-phan-chanh-phuong-hoang-liet-prj-khu-do-thi-moi-linh-dam/-ban-dao-mat-pho-kinh-doanh-view-ho-gia-dau-tu-pr40596046,"Dự án KĐT Linh Đàm, Đường Nguyễn Phan Chánh, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","48,3 tỷ",255 m²,6 phòng,7 phòng,5 tầng,,,"12,5 m",21 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-hoa-tham-phuong-lieu-giai-prj-chung-cu-671-hoang-hoa-tham/ban-bt-viglacera-129m-6-ngu-khep-kin-129m2-39-6-ty-view-dep-tai-giai-pr42755935,"Chung cư 671 Hoàng Hoa Thám, Hoàng Hoa Thám, Liễu Giai, Ba Đình, Hà Nội","39,6 tỷ",129 m²,6 phòng,6 phòng,4 tầng,,,6 m,20 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-bui-quoc-khai-phuong-dai-kim-prj-kdt-tay-nam-kim-giang/chinh-chu-ban-lk-linh-dam-via-he-kinh-doanh-oto-tranh-pr39158518,"Dự án KĐT Tây Nam Linh Đàm, Đường Bùi Quốc Khái, Phường Đại Kim, Hoàng Mai, Hà Nội","13,8 tỷ",85 m²,4 phòng,4 phòng,5 tầng,Đông - Nam,,5 m,16 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-phuong-prj-ct2-xuan-phuong/cc-ban-156m-gia-7-3-ty-cc-lien-he-pr43088832,"CT2 Xuân Phương, Xuân Phương, Nam Từ Liêm, Hà Nội","7,3 tỷ",156 m²,,,,,,,,Sổ đỏ/ Sổ hồng,Không nội thất
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-tinh-lo-446-thi-tran-quoc-oai-1-prj-kcn-thach-that-quoc-oai/ban-manh-ha-noi-2tr-m2-dien-tich-445m-so-do-chinh-chu-pr43088827,"Dự án Thạch Thất Quốc Oai, Đường Tỉnh Lộ 446, Thị trấn Quốc Oai, Quốc Oai, Hà Nội","8,9 tỷ",445 m²,,,,,,,,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-nha-rieng-duong-tan-khai-phuong-vinh-hung-2/ban-van-be-dt-30m-x-5t-mt-4m-ngo-3-gac-cach-o-to-30m-gan-timecity-gia-5-5-ty-pr42199255,"Đường Tân Khai, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",6 tỷ,30 m²,3 phòng,4 phòng,5 tầng,Đông - Nam,,4 m,"2,5 m",Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-dat-phuong-tay-mo/ban-42m2-so-vuong-gan-dai-lo-thang-long-vi-tri-cuc-net-pr43087375,"Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",5 tỷ,42 m²,,,,,,,,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-dat-duong-quoc-lo-21a-quoc-lo-21-thi-tran-quoc-oai-1/ban-hoa-lac-thach-that-gan-dai-hoc-gia-gia-2-ty990-so-do-chinh-chu-pr42967733,"Đường Quốc lộ 21A(Quốc lộ 21), Thị trấn Quốc Oai, Quốc Oai, Hà Nội","2,99 tỷ",100 m²,,,,,,,,Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-dao-thanh-phuong-ha-dinh/-phan-lo-via-he-o-to-tranh-kinh-doanh-mat-tien-sieu-rong-pr41350945,"Đường Hoàng Đạo Thành, Phường Kim Giang, Thanh Xuân, Hà Nội","26,5 tỷ",280 m²,6 phòng,6 phòng,4 tầng,,,8 m,10 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-phuong-ngoc-thuy/-dau-tu-hien-trang-ngo-o-to-thong-vao-tuong-lai-duong-13-5m-gia-cuc-hop-ly-pr42992094,"Phường Ngọc Thụy, Long Biên, Hà Nội","18,3 tỷ",120 m²,,,,,,5 m,"4,5 m",Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-dinh-cong-prj-khu-do-thi-moi-dinh-cong/ban-kdt-dt-118m-mat-tien-7m-3-5-tang-san-truoc-san-sau-pr40045984,"Dự án KĐT Định Công, Phường Định Công, Hoàng Mai, Hà Nội",25 tỷ,84 m²,4 phòng,4 phòng,4 tầng,Tây,Nam,"4,5 m",7 m,Sổ đỏ/ Sổ hồng.,Cơ bản.
https://batdongsan.com.vn/ban-kho-nha-xuong-duong-422b-xa-kim-chung-1/ban-1500m2-900m2-tang-2-dien-nuoc-day-du-dien-3pha-gia-nuoc-pccc-gia-thuong-luong-pr43086533,"Đường 422B, Xã Kim Chung, Hoài Đức, Hà Nội",14 tỷ,1.500 m²,,1 phòng,,Đông - Bắc,,12 m,8 m,Hợp đồng mua bán,Đầy đủ
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-liet-phuong-hoang-liet/sieu-san-vuon-dien-tich-khung-canh-ho-o-suong-pr39748550,"Đường Hoàng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",28 tỷ,360 m²,5 phòng,4 phòng,3 tầng,,,10 m,6 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-duong-vo-chi-cong-phuong-nghia-do-1/ban-204m-cau-giay-mat-ngo-o-to-tranh-mt-12m-sat-mat-pho-38-5-ty-pr42819024,"Đường Võ Chí Công, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","38,5 tỷ",204 m²,,,,,,12 m,8 m,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-vinh-phuc/sieu-pham-ba-dinh-ngo-thong-kinh-doanh-dep-lung-linh-pr43055890,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội","11,5 tỷ",47 m²,6 phòng,6 phòng,7 tầng,,,3 m,,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-quoc-khai-phuong-hoang-liet/o-to-tranh-o-to-7-cho-vao-mat-tien-rong-kinh-doanh-bat-chap-ngay-dem-pr38035892,"Đường Bùi Quốc Khái, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","9,3 tỷ",60 m²,4 phòng,3 phòng,5 tầng,,,4 m,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city-dai-mo/ban-32-ty-90m2-5pn-3wc-day-du-noi-that-pr43088993,"Dự án Louis City Đại Mỗ, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",32 tỷ,90 m²,5 phòng,3 phòng,5 tầng,Đông - Bắc,Đông - Bắc,5 m,7 m,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-dat-xa-hoang-van-thu-5/-chinh-chu-em-can-ban-lo-180m2-vi-tri-dac-dia-gia-re-tai-cm-hn-pr42977656,"Xã Hoàng Văn Thụ, Chương Mỹ, Hà Nội",Thỏa thuận,180 m²,,,,,,"7,5 m",6 m,Sổ đỏ/ Sổ hồng,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-mai-phuong-giap-bat/-cuc-dep-gia-cuc-ki-hop-ly-o-to-ngu-trong-nha-pr43066077,"Đường Hoàng Mai, Phường Giáp Bát, Hoàng Mai, Hà Nội","10,2 tỷ",48 m²,4 phòng,3 phòng,5 tầng,Nam,Nam,4 m,4 m,Sổ đỏ/ Sổ hồng,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-liet-phuong-hoang-liet/kinh-doanh-oto-tranh-xe-hop-cat-gon-trong-nha-pr38170397,"Đường Hoàng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","6,75 tỷ",41 m²,4 phòng,3 phòng,5 tầng,,,"4,5 m",6 m,Sổ đỏ/ Sổ hồng.,Cơ bản
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-huy-bich-phuong-giap-bat/-phan-lo-2-mat-ngo-gara-san-o-to-via-he-kinh-doanh-dt-60m-x-5t-mt-4-1m-gia-15-8-ty-pr42394465,"Đường Bùi Huy Bích, Phường Giáp Bát, Hoàng Mai, Hà Nội","15,8 tỷ",68 m²,5 phòng,4 phòng,5 tầng,Tây,Tây,"4,1 m",10 m,Sổ đỏ/ Sổ hồng,Cơ bản.
