Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Pháp lý,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-thinh-phuong-lang-ha/lo-goc-2-mat-ngo-o-to-tranh-81-3m2-mt-6-7m-va-12m-vai-buoc-ra-pho-pr41660239,"Phố Thái Thịnh, Phường Láng Hạ, Đống Đa, Hà Nội",21 tỷ,"81,3 m²",,,3 tầng,Sổ đỏ/ Sổ hồng,,"6,7 m",6 m,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-dang-ninh-phuong-quan-hoa/ban-via-he-cau-giay-60m-4-tang-mt-4m-27-ty-pr43130199,"Đường Trần Đăng Ninh, Phường Quan Hoa, Cầu Giấy, Hà Nội",27 tỷ,60 m²,4 phòng,,4 tầng,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-ha-phuong-lang-ha/ban-dong-da-o-to-tranh-kinh-doanh-dinh-cao-dt-80m2-mt-5-1m-gia-30-ty-pr43130063,"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",30 tỷ,80 m²,6 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,"5,1 m",8 m,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-trieu-viet-vuong-phuong-bui-thi-xuan/toa-mp-12-tang-hoan-cong-dong-tien-4-ty-nam-135m2-mt-8m-pr43016517,"Đường Triệu Việt Vương, Phường Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",160 tỷ,135 m²,,,12 tầng,Sổ đỏ/ Sổ hồng,,8 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-an-trai-xa-van-canh-1/b-v-ch-o-to-ch-sat-khu-do-thi-cong-vien-g-pr43023319,"Thôn An Trai, Đường An Trai, Xã Vân Canh, Hoài Đức, Hà Nội","5,05 tỷ",35 m²,3 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-khuat-duy-tien-phuong-nhan-chinh/-3-o-to-150m2-mt-7-2m-5t-chi-42-ty-pr43037122,"Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội",42 tỷ,150 m²,,,5 tầng,Sổ đỏ/ Sổ hồng,,"7,2 m",10 m,,
https://batdongsan.com.vn/ban-dat-duong-bat-khoi-phuong-long-bien/ban-100m-oto-vao-phan-lo-oto-tranh-pr43074087,"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội","7,95 tỷ",100 m²,,,,Sổ đỏ/ Sổ hồng.,,4 m,5 m,,
https://batdongsan.com.vn/ban-dat-duong-phuc-loi-phuong-phuc-loi/ban-46m2-tai-mat-13m-via-he-10-7-ty-ban-gap-pr43074420,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội","10,7 tỷ",46 m²,,,,Sổ đỏ/ Sổ hồng,,,13 m,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-miami/ban-gap-2pn-2wc-63m2-view-noi-khu-be-boi-gia-4-11-ty-bao-phi-miami-pr43104913,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,11 tỷ",63 m²,2 phòng,2 phòng,,Hợp đồng mua bán,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/-goc-95m2-re-nhat-3-ngu-tang-1x-huong-ban-cong-dong-nam-gia-9-ty-pr42888085,"Imperia Garden, Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội",9 tỷ,95 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dien-phuong-phu-dien/ban-6-tang-co-thang-may-he-thong-chong-chay-ngo-rong-o-to-do-cua-tien-ich-bat-ngan-pr42631190,"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","6,15 tỷ",36 m²,5 phòng,5 phòng,6 tầng,Sổ đỏ/ Sổ hồng,,"4,6 m",2 m,Nam,Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-ecolife-capitol/1-ngu-dt-46m2-full-noi-that-chat-luong-tai-3-6-ty-ban-gap-gia-cuc-tot-pr43014058,"Dự án Ecolife Capitol, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội","3,6 tỷ",46 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-nha-rieng-phuong-phu-dien/ban-cau-ngo-thong-o-to-vao-tan-35m-gia-chi-6-ty-pr42995783,"Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",6 tỷ,35 m²,4 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,"4,5 m",3 m,Tây - Bắc,Tây - Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mo-lao-phuong-mo-lao-prj-seasons-avenue/toa-s4-chcc-ban-2-ngu-86m2-full-do-cao-cap-tu-y-view-trung-van-mat-5-8-ty-pr42761301,"Seasons Avenue, Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội","5,8 tỷ",86 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Đông - Nam,Tây - Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mo-lao-phuong-mo-lao-prj-mulberry-lane/nhuong-gap-1-ngu-tang-trung-46m2-gia-tot-tai-noi-that-dep-gia-3-x-ty-pr42786211,"Mulberry Lane, Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",3 tỷ,46 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-trung-phung-phuong-kham-thien/ban-gap-xa-dan-dong-da-dt-35m2-thiet-ke-3-pn-full-noi-that-du-cong-nang-ho-gia-dinh-o-ngay-pr43130178,"Đường Trung Phụng, Phường Khâm Thiên, Đống Đa, Hà Nội","6,6 tỷ",35 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-mulberry-lane/tin-chuan-ban-chcc-2pn-114m2-toa-vip-d-ban-cong-dong-nam-gia-chi-6-x-ty-pr42754376,"Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",Thỏa thuận,114 m²,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-chien-thang-phuong-van-quan/ban-gap-pho-ha-dong-phan-lo-vi-he-3-o-to-tranh-dt-38m-5t-3-5mt-12-1-ty-co-tl-pr42729189,"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội","11,3 tỷ",38 m²,4 phòng,3 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,5 m",8 m,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-chu-trinh-phuong-phan-chu-trinh/ban-gap-280m2-mt-10m-sieu-hiem-pr37551767,"Đường Phan Chu Trinh, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Thỏa thuận,280 m²,,,2 tầng,Sổ đỏ/ Sổ hồng,,9 m,,,
https://batdongsan.com.vn/ban-trang-trai-khu-nghi-duong-xa-van-hoa-1/tim-chu-moi-cho-6000m2-homestay-ba-vi-dang-hanh-tot-doanh-thu-binh-quan-250tr-thang-pr42660381,"Xã Vân Hòa, Ba Vì, Hà Nội",45 tỷ,"5.962,8 m²",10 phòng,10 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,5 m,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-cu-1-phuong-bo-de/ban-toa-9-tang-214m2-sieu-dep-nguuyeexn-quan-long-bien-pr40390467,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",130 tỷ,214 m²,,,9 tầng,Sổ đỏ/ Sổ hồng,,8 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-nghia-do-1/ban-phan-lo-via-he-oto-tranh-cau-giay-60m2-5-tang-mt-4m-18-ty-pr42935685,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",18 tỷ,60 m²,5 phòng,,4 tầng,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-du-1-thi-tran-trau-quy-prj-the-zenpark/chinh-chu-gui-ban-1n-toa-r1-03-view-ca-koi-view-cong-vien-gia-lam-sieu-dep-pr42573941,"Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",3 tỷ,49 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Tây - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-toa-thap-thien-nien-ky-hatay-millennium/ban-ch-ha-dong-dt-100m2-3n2vs-full-noi-that-gia-6-8-ty-lh-pr42892407,"Tòa Tháp Thiên Niên Kỷ - Hatay Millennium, Quang Trung, Quang Trung, Hà Đông, Hà Nội","6,8 tỷ",100 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-eurowindow-multi-complex/chinh-chu-ban-2pn-dt-100m2-gia-5-38-ty-lh-pr39281439,"Dự án Eurowindow Multi Complex, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","7,88 tỷ",98 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,Đông - Nam,Tây - Bắc
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-thinh-phuong-trung-liet/ga-de-vang-toa-ccmn-full-noi-that-ra-chi-1-phut-18pkk-dt-6-nam-79m2-7t-pr43114856,"Phố Thái Thịnh, Phường Trung Liệt, Đống Đa, Hà Nội",16 tỷ,79 m²,18 phòng,,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,5 m",,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-tran-vu-phuong-truc-bach/ban-ho-2-thong-u-gia-thoa-thuan-130m2-tien-7m-so-do-day-du-pr42546401,"Phố Trấn Vũ, Phường Trúc Bạch, Ba Đình, Hà Nội",Thỏa thuận,130 m²,,,,Sổ đỏ/ Sổ hồng,,7 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-thinh-quang-phuong-thinh-quang/toa-chdv-ngo-thong-ba-gac-tranh-sat-pho-16pkk-dt-80tr-thang-gpxd-pccc-78m2-7t-pr43106843,"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội","15,7 tỷ",78 m²,16 phòng,,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lang-hoa-lac-xa-an-khanh-4-prj-khu-do-thi-nam-an-khanh/b-dep-tai-khh-lo-bt10-03-so-s-giao-dich-382m2-pr41380590,"Dự án Nam An Khánh, Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội",105 triệu/m²,"382,5 m²",5 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng.,,15 m,12 m,Đông,Đông
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-sapphire-1-vinhomes-ocean-park/chinh-chu-ban-2pn-1-toa-s1-08-day-du-noi-that-moi-100-view-thoang-pr39464381,"Dự án The Sapphire 1 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","3,15 tỷ","69,2 m²",2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng.,Nội thất: Bàn giao nguyên bản chủ đầu tư.,,,,Đông - Bắc
https://batdongsan.com.vn/ban-nha-rieng-phuong-trung-liet/qua-vip-toa-chdv-thai-ha-7-tang-thang-may-ba-gac-chay-cach-pho-50m-18pkk-dt-6-5-nam-78m2-pr43130167,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",16 tỷ,78 m²,18 phòng,,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-hang-buom-phuong-hang-buom/ban-gap-khach-san-xay-moi-300m2-sieu-dep-pr38509109,"Phố Hàng Buồm, Phường Hàng Buồm, Hoàn Kiếm, Hà Nội",Thỏa thuận,300 m²,,,7 tầng,Sổ đỏ/ Sổ hồng,,10 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/oto-nhinh-3ty-3-5t-ful-do-gan-dh-dai-nam-200m-ql21b-hoamr-sinh-pr43073856,"Đường 21B, Xã Bích Hòa, Thanh Oai, Hà Nội","3,2 tỷ",35 m²,,,4 tầng,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-cau-dien-phuong-cau-dien/ban-cho-thue-dong-tien-ngo-o-to-tu-liem-60m-7-tang-14-phong-khep-kin-12-ty-pr43030024,"Đường Cầu Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",12 tỷ,60 m²,14 phòng,14 phòng,7 tầng,,Full nội thất.,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-tran-hung-dao/ban-gap-1267m2-doan-dep-t-pr37034878,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",730 triệu/m²,1.267 m²,,,,Sổ đỏ/ Sổ hồng,,22 m,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-khuong-trung-phuong-khuong-trung-prj-star-tower-283-khuong-trung/ban-ch-nguyen-ban-du-an-283-dt-95m2-3n2vs-san-so-gia-5-8-ty-lh-pr43035113,"Star Tower 283 Khương Trung, Khương Trung, Khương Trung, Thanh Xuân, Hà Nội","5,8 tỷ",95 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,,,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-dang-ninh-phuong-quang-trung-17/chinh-chu-gui-ban-ha-dong-pr43077113,"Đường Trần Đăng Ninh, Phường Quang Trung, Hà Đông, Hà Nội","18,3 tỷ",45 m²,4 phòng,,7 tầng,Sổ đỏ/ Sổ hồng,"Nội thất mới xịn sò, điều hoà, nóng lạnh, giường tủ, sofa...",,,Tây - Bắc,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-ba-trieu-phuong-hang-bai/n-toa-sieu-dep-goc-voi-hai-trung-cach-ho-guom-100m-pr38803156,"Phố Bà Triệu, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",Thỏa thuận,700 m²,,,,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ly-thanh-tong-xa-duong-xa-prj-the-pavilion-vinhomes-ocean-park/doc-quyen-ban-studio-toa-p2-view-noi-va-san-choi-sieu-dep-cam-ket-anh-thuc-pr42275695,"Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội","1,82 tỷ","30,1 m²",1 phòng,1 phòng,,Hợp đồng mua bán,Full nội thất như ảnh.,,,,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/that-100-ngo-to-tng-truoc-sau-thong-moi-noi-o-suong-37m2-pr41123993,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội","8,1 tỷ",41 m²,,,5 tầng,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-pham-tuan-tai-phuong-nghia-do-1/ban-phan-lo-o-to-tranh-thang-may-cau-giay-80m-6-tang-mt-6m-29-5-ty-pr42924456,"Phố Phạm Tuấn Tài, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","29,5 tỷ",80 m²,5 phòng,,6 tầng,,,6 m,,,
https://batdongsan.com.vn/ban-nha-mat-pho-phuong-quang-an-2/ban-gap-530m2-tien-26m-ho-tay-pr40997778,"Phường Quảng An, Tây Hồ, Hà Nội",Thỏa thuận,530 m²,,,5 tầng,Sổ đỏ/ Sổ hồng,,26 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/ban-thanh-xuan-55m2-4t-mt-4m-chu-tu-xay-chac-chan-ngo-rong-thoang-chi-8-8-ty-pr43129900,"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội","8,8 tỷ",55 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-hai-ba-trung-phuong-hang-bai/n-gap-toa-van-ng-16-tang-quan-hoan-kiem-pr37878574,"Phố Hai Bà Trưng, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",Thỏa thuận,800 m²,,,16 tầng,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-lieu-giai/-mat-ngo-van-cao-ba-dinh-thong-tu-tung-duoc-thiet-ke-5-tang-thang-may-moi-koong-pr43129956,"Phường Liễu Giai, Ba Đình, Hà Nội","15,6 tỷ",42 m²,5 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-the-golden-palm-le-van-luong/-chu-ban-tang-15-3pn-du-an-21-full-noi-that-cao-cap-pr39896146,"Dự án The Golden Palm Lê Văn Lương, 21 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội","7,18 tỷ",83 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-kim-xuyen-phuong-yen-hoa-2/ban-phan-lo-o-to-h-cau-giay-66m-5-tang-mt-5m-23-9-ty-pr42940433,"Đường Trần Kim Xuyến, Phường Yên Hòa, Cầu Giấy, Hà Nội","23,9 tỷ",66 m²,5 phòng,,5 tầng,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-xuan-la-prj-6th-element/ban-gap-bt-tay-ho-38-5-ty-108m2-pr43129859,"Dự án 6th Element, Phường Xuân La, Tây Hồ, Hà Nội","38,5 tỷ",108 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-hoang-liet-prj-vp5-linh-dam/-giai-quyet-cong-viec-gia-dinh-ban-so-do-tai-o-ngay-nha-day-du-noi-that-pr43035913,"Dự án VP5 Linh Đàm, Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","3,6 tỷ","61,09 m²",2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-hang-trong-phuong-hang-gai/ban-gap-270m2-vip-t-co-quan-hoan-kiem-pr26249528,"Phố Hàng Trống, Phường Hàng Gai, Hoàn Kiếm, Hà Nội",Thỏa thuận,270 m²,,,3 tầng,,,8 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-lang-thuong/that-100-co-chdv-biet-de-trung-vang-75m2-x-7t-thang-may-16-kk-doanh-thu-1-1-ty-nam-pr43032812,"Đường Trường Chinh, Phường Láng Thượng, Đống Đa, Hà Nội","15,5 tỷ",75 m²,,,7 tầng,Sổ đỏ/ Sổ hồng,Full nội thất xịn sò.,,,,
