Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
https://batdongsan.com.vn/ban-nha-rieng-pho-lac-trung-phuong-vinh-tuy/sieu-pham-gia-hop-ly-hon-15ty-khu-phan-lo-hbt-vua-o-vua-kinh-doanh-dinh-luon-pr42918686,"Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","15,68 tỷ",66 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-gia-re-t-xom-ngo-ngach-thong-40m-4-tang-hon-6-ty-pr43112662,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội","6,6 tỷ",40 m²,4 phòng,4 phòng,Đông - Bắc,Đông,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/ban-tai-thanh-xuan-chi-8-9-ty-34m2-6-tang-thang-may-voi-3pn-5wc-pr42905985,"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội","8,9 tỷ",34 m²,3 phòng,5 phòng,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"4,5 m",2 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-trung-thanh-thi-tran-trau-quy-prj-hanhomes-blue-star/ban-gia-lam-re-nhat-bang-hang-pr42303223,"Dự án Hanhomes Blue Star, Đường Võ Trung Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",50 triệu/m²,60 m²,2 phòng,1 phòng,,Tây - Bắc,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dien-phuong-khuong-mai/chinh-chu-can-ban-4-tang-52m2-thanh-xuan-pr42781485,"Phố Trần Điền, Phường Khương Mai, Thanh Xuân, Hà Nội","14,5 tỷ",52 m²,5 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Không nội thất,4 tầng,6 m,5 m
https://batdongsan.com.vn/ban-dat-xa-dong-hoi/-dep-lo-goc-hinh-thua-vip-no-hau-nhe-ngo-ngach-lat-gach-sach-se-o-to-tranh-50m-pr42999038,"Xã Đông Hội, Đông Anh, Hà Nội","4,6 tỷ","48,9 m²",,,,,Sổ đỏ/ Sổ hồng,,,"4,4 m",2 m
https://batdongsan.com.vn/ban-nha-rieng-pho-yen-lac-phuong-vinh-tuy/ban-phan-lo-quan-doi-quan-hai-ba-trung-dt-60m2x5t-thang-may-o-to-do-vao-pr43112505,"Phố Yên Lạc, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","18,8 tỷ",60 m²,4 phòng,4 phòng,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,"4,5 m",6 m
https://batdongsan.com.vn/ban-dat-nen-du-an-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/can-ban-so-lau-dai-362m2-kdt-cienco5-ha-noi-pr39160607,"Dự án Cienco 5 Mê Linh, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,375 m²,,,Tây - Nam,,Sổ đỏ/ Sổ hồng,,,15 m,"18,5 m"
https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-bach-mai/ban-gap-49m2-6-tang-kinh-doanh-sam-uat-tai-hai-ba-trung-ha-noi-pr42753920,"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội","23,8 tỷ",49 m²,3 phòng,5 phòng,Nam,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"4,4 m",6 m
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-duy-hung-phuong-trung-hoa-4/-8-tang-thang-may-114m2-o-to-kinh-doanh-cau-giay-pr42933205,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",29 tỷ,114 m²,12 phòng,8 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,8 tầng,"4,5 m",5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-lang-viet-kieu-chau-au-euroland/toi-ban-cc-tsq-dien-tich-123m-3n2vs-view-trung-van-san-so-full-noi-that-pr41358957,"Dự án Làng Việt Kiều Châu Âu Euroland, Phường Mỗ Lao, Hà Đông, Hà Nội",6 tỷ,105 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/chinh-chu-ban-xay-5-tang-x-30m2-dep-hoan-thien-noi-that-ve-o-ngay-nhinh-7-ty-pr43113084,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội","7,4 tỷ",30 m²,,,,,,Hoàn thiện nội thất.,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-lang-viet-kieu-chau-au-euroland/toi-ban-cc-tsq-dien-tich-145m2-thiet-ke-3-ngu-view-trung-van-pr40464635,"Dự án Làng Việt Kiều Châu Âu Euroland, Phường Mỗ Lao, Hà Đông, Hà Nội","9,5 tỷ",191 m²,4 phòng,3 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-hang-chieu-phuong-dong-xuan/ban-125m2-4-tang-mt-6m-78-5-ty-pr43112479,"Phố Hàng Chiếu, Phường Đồng Xuân, Hoàn Kiếm, Hà Nội","78,5 tỷ",125 m²,5 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,6 m,20 m
https://batdongsan.com.vn/ban-nha-rieng-duong-truong-dinh-phuong-minh-khai/ban-hai-ba-trung-ha-noi-3-95-ty-30m2-dep-nhieu-tien-ich-pr42951026,"Đường Trương Định, Phường Minh Khai, Hai Bà Trưng, Hà Nội","3,95 tỷ",30 m²,3 phòng,3 phòng,Bắc,Bắc,Sổ chung,Đầy đủ,4 tầng,"6,5 m",2 m
https://batdongsan.com.vn/ban-dat-xa-dan-phuong-1/ban-64m2-truc-chinh-khu-phan-lo-dong-ong-ap-lung-vao-duong-tay-thang-long-dang-trien-khai-pr42979114,"Xã Đan Phượng, Đan Phượng, Hà Nội",141 triệu/m²,"64,3 m²",,,,,Sổ đỏ/ Sổ hồng,,,"4,65 m",
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-23-2-xa-tien-phong-8-prj-khu-do-thi-minh-giang-dam-va/ban-lien-ke-dtm-huyen-me-linh-ha-noi-pr37510431,"Dự án Minh Giang Đầm Và, Đường 23, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,110 m²,,,Bắc,,,,,"7,2 m",27 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dang-thuy-tram-phuong-xuan-dinh/ban-bt-dep-xuat-sac-bac-tu-liem-ha-noi-gia-thoa-thuan-126m2-pr42946700,"Đường Đặng Thùy Trâm, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Thỏa thuận,132 m²,6 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"8,5 m",12 m
https://batdongsan.com.vn/ban-dat-duong-van-xuan-xa-di-trach/ban-sieu-dep-phan-lo-via-he-rong-sat-h-dai-3-5-dang-mo-pho-hoai-duc-36m-mt-4-8m-pr42955751,"Đường Vạn Xuân, Xã Di Trạch, Hoài Đức, Hà Nội","10,5 tỷ",36 m²,,,Đông - Bắc,,Sổ đỏ/ Sổ hồng,,,"4,8 m",7 m
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-thuong/toi-nh-chu-ban-ngo-62-dong-da-80m-7-tang-xay-moi-thang-may-pr42329888,"Ngõ 62/8, Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội","23,5 tỷ",80 m²,5 phòng,8 phòng,,Nam,Sổ đỏ/ Sổ hồng,Cơ bản,7 tầng,8 m,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/1pn-zen-r1-05-2-65-ty-ban-nhanh-tai-ha-noi-pr42796729,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","2,65 tỷ",45 m²,1 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-pho-vong-phuong-dong-tam/ban-phan-lo-ngo-259-hbt-hn-dt-55m2x5to-to-tranh-pr43112408,"Ngõ 259, Phố Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội","15,2 tỷ",55 m²,6 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,,5 tầng,,4 m
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-23b-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/chuyen-mua-ban-lien-ke-biet-thu-kdt-5-mr-long-0988821518-pr15481827,"Dự án Cienco 5 Mê Linh, Đường 23B, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,95 m²,,,Nam,,,,,5 m,"21,5 m"
https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-co-nhue-1/can-ban-gap-pho-lo-goc-3-mat-thoang-oto-tranh-kinh-doanh-dan-tri-cao-pr43113062,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","22,5 tỷ",70 m²,5 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,,
https://batdongsan.com.vn/ban-dat-duong-nguyen-chinh-phuong-thinh-liet/ban-tan-mai-155m-so-mat-tien-8-5m-ngo-thong-o-to-di-lai-vao-nha-19-9-ty-pr43113006,"Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội","19,9 tỷ",155 m²,,,,,Sổ đỏ/ Sổ hồng,,,"8,5 m",5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-du-1-thi-tran-trau-quy-prj-the-zenpark/studio-toa-r1-03-chuyen-nhuong-nhanh-gia-19xx-ty-pr42796986,"Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","1,98 tỷ","26,9 m²",1 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-xa-dan-phuong-nam-dong/ban-mat-quan-da-55m2-4t-mt-hon-4m-2-thoang-17-ty-2-pr43113001,"Xã Đàn 2, Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",17 tỷ,55 m²,4 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,"4,5 m",6 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-chanh-phuong-trung-hoa-4-prj-chung-cu-30t-nam-trung-yen/ban-gia-tot-chi-voi-4-655-ty-75m2-3pn-2wc-cau-giay-ha-noi-pr42068765,"Chung cư 30T Nam Trung Yên, Nguyễn Chánh, Trung Hòa, Cầu Giấy, Hà Nội","4,66 tỷ",75 m²,3 phòng,2 phòng,Nam,,Đang chờ sổ,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-thai-ha-phuong-lang-ha-prj-song-hong-park-view/ban-3pn-2wc-gia-cuc-ct-8-ty-11m2-tai-ng-dong-da-noi-pr43110253,"Dự án Sông Hồng Park View, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",8 tỷ,111 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dien-phuong-phu-dien/toa-can-ho-bac-tu-liem-sieu-dong-tien-76m-7-tang-20-phong-khep-kin-thu-90-trieu-thang-pr42895727,"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","21,5 tỷ",76 m²,20 phòng,20 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-le-van-thiem-phuong-thanh-xuan-trung-prj-thanh-xuan-complex/chinh-chu-ban-gap-2-ngu-tang-cao-cap-gia-3-2-lh-0911-981-612-pr30310188,"Dự án Thanh Xuân Complex, Phố Lê Văn Thiêm, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thỏa thuận,91 m²,3 phòng,2 phòng,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Không nội thất,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-chanh-phuong-trung-hoa-4-prj-chung-cu-30t-nam-trung-yen/ban-gap-cc-3-65-ty-55m2-2pn-1wc-co-ban-pr42059834,"Dự án 30T Nam Trung Yên, Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội","3,75 tỷ",55 m²,2 phòng,1 phòng,Đông - Nam,,Đang chờ sổ,Cơ bản,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-duc-giang-phuong-duc-giang-2/can-ban-6-tang-dt-32m-hien-dai-thang-may-gara-o-to-ngu-trong-pr43112754,"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội","7,5 tỷ",32 m²,3 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,,6 tầng,"3,9 m",3 m
https://batdongsan.com.vn/ban-dat-nen-du-an-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/can-ban-lk6-so-lau-dai-100m-kdt-cienco5-ha-noi-pr38963161,"Dự án Cienco 5 Mê Linh, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,100 m²,,,Bắc,,Sổ đỏ/ Sổ hồng,,,5 m,24 m
https://batdongsan.com.vn/ban-nha-rieng-duong-to-huu-phuong-trung-van/ban-pho-nam-tu-liem-sat-pho-o-kinh-doanh-63m-4-tang-chi-nhinh-23-ty-pr42896037,"Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội","23,5 tỷ",63 m²,4 phòng,3 phòng,Tây,,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,"3,8 m",5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-nguy-nhu-kon-tum_1-phuong-thanh-xuan-trung-prj-chung-cu-the-legacy/chuyen-cong-tac-gia-dinh-toi-ban-gap-134m-ban-cong-dn-tang-15-do-anh-gia-ta-thuan-pr31584917,"Dự án Chung cư The Legacy, Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",8 tỷ,118 m²,3 phòng,2 phòng,Tây - Bắc,Đông - Nam,Hợp đồng mua bán,Full.,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-thai-tong-phuong-dich-vong/ban-quan-cau-giay-dien-tich-246-m2-gia-136-ty-pr42843857,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội","135,9 tỷ",247 m²,5 phòng,3 phòng,Tây - Bắc,,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-dong-ngac-prj-ia20-ciputra/hang-hiem-tai-38-ty-110m2-6-tang-bac-tu-liem-ha-noi-pr43112983,"Dự án IA20 Ciputra, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",38 tỷ,110 m²,,,Tây - Bắc,Tây - Bắc,,,6 tầng,,15 m
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-23-2-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/chinh-chu-b-3-o-biet-thu-vi-tri-dep-nhat-a-va-b-cieno5-gia-chu-dau-tu-pr41204949,"Dự án Cienco 5 Mê Linh, Đường 23, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,300 m²,,,Đông,,Sổ đỏ/ Sổ hồng,,,15 m,"18,5 m"
https://batdongsan.com.vn/ban-nha-rieng-pho-chinh-kinh-phuong-nhan-chinh/sieu-dep-nho-tien-nhinh-5-ty-full-noi-that-thanh-xuan-21m-4-tang-xay-moi-pr42886304,"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội","5,58 tỷ",21 m²,3 phòng,3 phòng,Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,"3,3 m",2 m
https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-1/ban-dan-xay-o-to-di-qua-33m2-x-5-tang-6-75-ty-chu-ban-de-mua-to-hon-don-bo-len-o-cung-pr43067763,"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội","6,75 tỷ",33 m²,,,,,,,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-doi-can/sieu-pham-moi-tinh-view-mat-ho-pho-ngoc-ha-ba-dinh-55-70m-8-tang-mt-5-5m-pr41528937,"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",32 tỷ,55 m²,5 phòng,7 phòng,Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,8 tầng,"5,5 m",15 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-song-lap-dao-be-ngoc-trai-vhocp1-pr37660714,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",28 tỷ,150 m²,2 phòng,2 phòng,Đông - Nam,,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,15 m,15 m
