Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-vinhomes-times-city-park-hill/ban-gap-03pn-sang-toa-park5-100m-gia-chi-9-ty-lh-pr41826109,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",9 tỷ,100 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Đông - Bắc
https://batdongsan.com.vn/ban-nha-mat-pho-duong-luu-quang-vu-phuong-trung-hoa-4/ban-25-ty-45m2-4pn-4wc-dep-nhieu-tien-ich-pr42710144,"Đường Lưu Quang Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",25 tỷ,45 m²,4 phòng,4 phòng,6 tầng,"5,5 m",15 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-man-quoc-oai-hn-dt-300m-500m-1000m-5000m-3ha-5ha-pr36875777,"Xã Phú Cát, Quốc Oai, Hà Nội",Thỏa thuận,5.000 m²,,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-truong-sa-xa-mai-lam/ban-gap-80m2-phan-lo-via-he-gia-162-trieu-m2-80-m2-le-dong-anh-ha-noi-pr42890230,"Đường Trường Sa, thôn Lê Xá, Xã Mai Lâm, Đông Anh, Hà Nội",162 triệu/m²,80 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ly-nam-de-phuong-cua-dong/dinh-cao-mot-ra-pho-oto-do-3-thoang-full-noi-that-cao-cap-thang-may-pr43005775,"Đường Lý Nam Đế, Phường Cửa Đông, Hoàn Kiếm, Hà Nội",39 tỷ,75 m²,6 phòng,6 phòng,7 tầng,"13,5 m",10 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-yen-hoa-2-prj-khu-do-thi-trung-yen/ban-8-tang-thang-may-kdt-cau-giay-ha-noi-48-ty-pr42463825,"Dự án KĐT Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",48 tỷ,98 m²,8 phòng,8 phòng,8 tầng,6 m,12 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-trung-kinh-phuong-yen-hoa-2-prj-home-city-trung-kinh/-moi-cap-nhat-quy-moi-nhat-2-3-4-png-ngu-me-lh-pr42661782,"Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",Thỏa thuận,70 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-mat-pho-pho-hoang-cau-phuong-o-cho-dua/sieu-hot-dong-da-lo-goc-view-ho-dong-tien-lon-216m-8-tang-mt-10m-gia-110-ty-pr43098146,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",110 tỷ,216 m²,,,,,,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-khuong-thuong-phuong-khuong-thuong/dong-tien-on-doanh-thu-khung-pr43098145,"Phố Khương Thượng, Phường Khương Thượng, Đống Đa, Hà Nội","5,5 tỷ",28 m²,6 phòng,6 phòng,6 tầng,,,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-luong-bang-1-phuong-trung-liet/ban-ccmn-moi-pho-82m-8t-22p-kk-pccc-dong-tien-120tr-1-thang-pr43098142,"Đường Nguyễn Lương Bằng, Phường Trung Liệt, Đống Đa, Hà Nội","16,8 tỷ",82 m²,22 phòng,22 phòng,8 tầng,6 m,"2,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dinh-cong-phuong-dinh-cong-prj-sky-central/ban-cc-6-2-ty-116m2-3pn-2wc-noi-that-450-trieu-slot-oto-hoang-mai-pr42414707,"Sky Central, 176, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội","6,1 tỷ",86 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-my-dinh-plaza/anh-that-gia-chuan-78m-2n2w-tai-1-san-so-full-do-co-thuong-luong-pr43098138,"Mỹ Đình Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","5,5 tỷ",78 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-park-hill-premium-times-city/ban-goc-02pn-toa-park12-gia-sieu-re-chi-6-8-ty-lh-pr42117297,"Park Hill Premium - Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội","6,8 tỷ",80 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Bắc
https://batdongsan.com.vn/ban-dat-xa-phu-man/cuc-hiem-lo-goc-285m2-duong-3-o-to-tai-dong-vang-sat-dhqg-tai-hoa-lac-chi-5-7-ty-pr43098136,"Đồng Vàng, Xã Phú Mãn, Quốc Oai, Hà Nội",20 triệu/m²,285 m²,,,,19 m,7 m,Sổ đỏ/ Sổ hồng.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dinh-cong-phuong-dinh-cong-prj-sky-central/ban-176-106m2-3-ngu-2-vs-noi-that-450-trieu-slot-oto-bao-thue-phi-5-ty-300-pr39494283,"Sky Central, 176, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội","7,8 tỷ",112 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
https://batdongsan.com.vn/ban-kho-nha-xuong-xa-phu-cat-1/ban-dat-hoa-lac-dt-2000m-5000m-1ha-5ha-gia-tu-1-3tr-den-3tr-0988-529-528-pr21827193,"Xã Phú Cát, Quốc Oai, Hà Nội",Thỏa thuận,1.800 m²,,,,30 m,30 m,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuy-khue-phuong-thuy-khue/-tay-ho-moi-tinh-tuom-cho-chu-moi-thang-may-oto-tranh-gan-ho-tay-pr42879733,"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",45 tỷ,58 m²,3 phòng,7 phòng,8 tầng,,7 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-pho-hao-nam-phuong-cat-linh/ban-duong-dt-43m-5tang-mt4-2m-gia-6-2ty-gan-oto-kinh-doanh-online-pr43098132,"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội","6,2 tỷ",43 m²,4 phòng,4 phòng,5 tầng,"4,2 m","2,3 m",Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-xa-xa-tan-trieu-prj-lien-ke-tong-cuc-5-tan-trieu/ban-lo-goc-5-thanh-tri-ha-noi-kinh-doanh-ca-fe-45-ty-pr41612087,"Dự án Tổng cục 5 Tân Triều, Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",45 tỷ,126 m²,6 phòng,6 phòng,6 tầng,12 m,25 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dinh-cong-phuong-dinh-cong-prj-sky-central/ban-176-hoang-mai-97m2-3-ngu-2-ve-sinh-noi-that-dep-6-ty-300-pr42874450,"Sky Central, 176, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội","6,1 tỷ",87 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-kho-nha-xuong-xa-phung-xa-2/ban-khu-cong-nghiep-thach-that-dt-9000m-hai-mat-duong-co-san-dat-chuan-pr39642707,"Xã Phùng Xá, Thạch Thất, Hà Nội",150 tỷ,9.000 m²,,,,100 m,,Đất 50 năm,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-times-city/ban-dap-thong-200m-tai-toa-t03-co-slot-xe-gia-chi-21-ty-lh-pr42112622,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",21 tỷ,200 m²,4 phòng,3 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Tây - Nam
https://batdongsan.com.vn/ban-dat-xa-duyen-thai/ban-gap-tai-3-25-ty-57m2-mat-tien-3-96m-pr43097430,"Xã Duyên Thái, Huyện Thường Tín, Hà Nội","3,25 tỷ",57 m²,,,,"3,96 m","2,5 m",Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-van-phuc-phuong-van-phuc-1/-dep-hang-xom-galaxy-10-5-ty-36m-5-tang-thang-may-pr42886163,"Đường Văn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội","10,5 tỷ",36 m²,3 phòng,4 phòng,5 tầng,"3,8 m",5 m,Sổ đỏ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-dai-kim-prj-khu-do-thi-kim-van-kim-lu-golden-silk/nhinh-4-8-ti-goc-tai-toa-cao-cap-vinaconex-hoang-mai-pr43097312,"Dự án Kim Văn Kim Lũ, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội","4,85 tỷ","71,4 m²",2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngoc-dai-phuong-dai-mo-prj-startup-tower/chinh-chu-ban-85m2-3pn-91-chi-3-7-ty-du-noi-that-ve-o-ngay-pr42196254,"Startup Tower, 91, Đường Ngọc Đại, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội","3,87 tỷ","65,2 m²",2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-kho-nha-xuong-xa-lai-yen/ban-cum-cong-nghiep-ha-noi-dt-6300m-lh-pr40335545,"Xã Lại Yên, Hoài Đức, Hà Nội",Thỏa thuận,6.300 m²,,,,47 m,,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tay-son-phuong-thinh-quang/sieu-pham-vi-tri-vang-dong-tien-khung-qh-on-dinh-tiem-nang-dinh-cao-98m2-8t-pr41758512,"Đường Tây Sơn, Phường Thịnh Quang, Đống Đa, Hà Nội",62 tỷ,116 m²,,,8 tầng,"6,8 m",,Sổ đỏ/ Sổ hồng.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-1-prj-khu-do-thi-my-dinh-song-da-sudico/ban-4pn-132m2-full-noi-that-toa-ct5-lh-pr43003490,"Dự án Sudico Mỹ Đình, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội","9,3 tỷ",132 m²,4 phòng,3 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Nam
https://batdongsan.com.vn/ban-dat-xa-binh-yen-1/hang-hiem-re-nhat-thi-truong-lo-86-3m2-duong-3-o-to-tai-hoa-lac-sat-cnc-dh-fpt-pr43073342,"Xã Bình Yên, Thạch Thất, Hà Nội",33 triệu/m²,"86,3 m²",,,,"5,6 m",7 m,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,
https://batdongsan.com.vn/ban-nha-rieng-duong-trinh-van-bo-phuong-phuong-canh/-phan-lo-via-he-rong-o-to-tranh-80m2-xay-5-tang-mt-5-5m-dep-tiem-nang-gia-23-x-pr43090326,"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",23 tỷ,80 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-tao-prj-n01-t8-ngoai-giao-doan/ban-nhanh-goc-hoa-hau-toa-bac-tu-liem-view-thoang-mat-cuc-dep-pr43098107,"Dự án N01-T8 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội","14,3 tỷ","121,2 m²",3 phòng,2 phòng,,,,,"Nội thất chủ nhà tâm huyết thiết kế chỉn chu, tiện nghi như hình.",Nam,Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-trung-hoa-4-prj-khu-do-thi-trung-hoa-nhan-chinh/ban-full-noi-that-2pn-2wc-nha-sua-dep-tai-a-lh-pr43003547,"Dự án Trung Hòa Nhân Chính, Đường Lê Văn Lương, Phường Trung Hòa, Cầu Giấy, Hà Nội","4,88 tỷ",65 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-chi-thanh-phuong-lang-thuong/building-8t-tien-khung-9-6m-via-he-da-bong-thang-may-kd-dinh-pr43075834,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",55 tỷ,98 m²,,,8 tầng,"9,6 m",,Sổ đỏ/ Sổ hồng,,,
