Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-sieu-dep-tu-studio-1pn-2-3pn-tai-vin-ocp-phap-ly-chuan-chi-tot-va-mien-phi-mg-pr43119455,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,34 tỷ",43 m²,1 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dich-vong-hau/ban-du-an-sun-grand-city-cdt-sun-group-doi-dien-voi-dai-c-quoc-gia-ha-noi-pr43143555,"Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","10,42 tỷ","53,8 m²",2 phòng,2 phòng,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/hot-quy-cn-tu-50tr-m2-2-ngu-chi-2-7x-ty-full-noi-that-nhan-nha-ngay-ht-vay-nh-pr43143576,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,7 tỷ",59 m²,2 phòng,1 phòng,Đông - Nam,Nam,Sổ đỏ/ Sổ hồng,Cơ bản.,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/-dan-phuong-quy-ngoai-giao-goc-vip-song-lap-gia-re-nhat-thi-truong-lh-pr43061364,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","16,6 tỷ",88 m²,4 phòng,4 phòng,Đông - Nam,Đông - Nam,Hợp đồng mua bán,Cơ bản,8 m,30 m,5 tầng
https://batdongsan.com.vn/ban-nha-rieng-pho-hoang-cau-phuong-o-cho-dua/sieu-pham-7-tang-thang-may-phan-l-t-tranh-sat-h-mi-lng-lanh-gia-mem-pr42990571,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","15,35 tỷ",45 m²,4 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 m,6 m,7 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/suat-ngoai-giao-lo-goc-duong-13m-gan-tl422-gan-vinschool-dien-tich-112m2-gia-21-ty-pr43057358,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",22 tỷ,112 m²,,,,,,,,13 m,
https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-thanh-nhan/can-hon-7-ty-dep-t-hai-ba-trung-46m2-4-tang-sieu-thoang-mat-yen-tinh-pr43143147,"Phố Bạch Mai, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội","7,5 tỷ",46 m²,5 phòng,4 phòng,Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,,"4,3 m",3 m,4 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-phu-thi-tran-thuong-tin-prj-him-lam-thuong-tin/mo-ban-5-can-dau-tien-suat-ngoai-giao-himlam-boulevard-vi-tri-dep-nhat-du-an-pr42940166,"Him Lam Thường Tín, Trần Phú, Thường Tín, Thường Tín, Hà Nội",13 tỷ,75 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/hang-hiem-88m2-re-nhat-vin-dan-phuong-sat-ngay-truong-hoc-vincom-gia-chi-16-3-ty-mua-la-thang-pr43049222,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","16,3 tỷ",88 m²,5 phòng,5 phòng,Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Không nội thất,8 m,13 m,4 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-loa-xa-dong-hoi-prj-vinhomes-co-loa/chi-can-18-ty-so-huu-ngay-bt-tu-lap-127-5m2-phan-khu-hoang-gia-phan-khu-vip-nhat-vh-loa-pr43143037,"Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Thỏa thuận,"127,5 m²",,,Tây - Bắc,,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-nha-rieng-xa-dong-my_1/ban-100m-my-thanh-tri-tang-cap-4-ngo-thong-2-dau-o-to-tranh-pr43142916,"Xã Đông Mỹ, Thanh Trì, Hà Nội","8,3 tỷ",100 m²,,,,,Sổ đỏ/ Sổ hồng,,"4,2 m",5 m,1 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/ban-gap-studio-1-8-ty-1pn-2-8-ty-2pn-3-4-ty-2pn-goc-3-85-ty-3pn-4-4-ty-kdt-city-pr43078554,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,85 tỷ",64 m²,2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-vin-ocp-chinh-chu-view-dep-re-phap-ly-ro-rang-mien-phi-mg-ht-vay-80-pr42814865,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,6 tỷ",59 m²,2 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng.,,,,
https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-dinh-cong-prj-khu-do-thi-moi-dai-kim-dinh-cong/cap-nhat-bg-gia-mo-rong-hg-hiem-gia-6x-trieu-m-pr43142624,"Dự án KĐTM Đại Kim - Định Công, Phường Định Công, Hoàng Mai, Hà Nội",Thỏa thuận,100 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/quy-doi-ngoai-vpbank-premium-quy-dep-tu-83-150m2-duplex-250m2-lien-he-em-chon-dep-pr42808953,"The Matrix One, Lê Quang Đạo, Mễ Trì, Nam Từ Liêm, Hà Nội",120 triệu/m²,125 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-lang-ha-prj-green-diamond-93-lang-ha/cap-nhat-bang-hang-dot-2-voi-nhieu-2pn-3pn-lan-dau-tien-ra-hang-chinh-sach-hap-dan-pr37484807,"Green Diamond 93 Láng Hạ, Số 93, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Thỏa thuận,137 m²,4 phòng,2 phòng,Tây - Bắc,Đông - Nam,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/co-cuoi-3-can-doc-quyen-gia-tot-tai-dan-phuong-mua-la-thang-pr43142501,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","17,58 tỷ",104 m²,5 phòng,4 phòng,Đông - Bắc,Đông - Nam,Hợp đồng mua bán,,8 m,13 m,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-vinhomes-smart-city/danh-sach-quy-studio-1pn-2pn-3pn-gia-tot-cap-nhat-6-nam-2025-pr43142473,"Dự án Vinhomes Smart City , Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",5 tỷ,76 m²,3 phòng,2 phòng,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,Không nội thất,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-422-xa-tan-hoi-7-prj-vinhomes-wonder-city/quy-can-96m-phan-khu-hung-dong-gia-re-nhat-thi-truong-pr42708430,"Vinhomes Wonder City, Đường 422, Xã Tân Hội, Đan Phượng, Hà Nội","16,62 tỷ",96 m²,6 phòng,4 phòng,,Đông - Bắc,Hợp đồng mua bán,Không nội thất,8 m,13 m,4 tầng
https://batdongsan.com.vn/ban-nha-mat-pho-duong-duc-giang-phuong-long-bien/ban-gap-140-nghin-m2-75m2-phap-ly-day-du-pr43142117,"Đường Đức Giang, Phường Long Biên, Long Biên, Hà Nội",140 nghìn/m²,75 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/em-ban-3-phong-ngu-tang-2x-full-noi-that-phan-khu-victoria-vin-dong-tien-do-dan-pr42828777,"Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Thỏa thuận,61 m²,2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-van-canh-1-prj-an-lac-green-symphony/chuyen-nhuong-re-hon-cdt-25-tu-80-300m2-gia-ban-tu-165tr-m2-gom-ca-xay-chuyen-nghiep-duoc-viec-pr42545596,"Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội","27,5 tỷ",136 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/sieu-4pn-doc-nhat-tuyet-pham-view-quy-doc-quyen-vinmes-mua-la-loi-pr43070951,"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","6,55 tỷ",99 m²,4 phòng,2 phòng,,Đông - Bắc,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/200-chuyen-nhuong-gia-tu-7-ty-8ty-tai-tu-van-giai-doan-2-thang-3-mo-ban-pr42855510,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Thỏa thuận,150 m²,4 phòng,3 phòng,Đông - Bắc,Tây - Nam,,Đầy đủ,,,
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-vanh-dai-2-5-phuong-dai-kim-prj-khu-do-thi-moi-dai-kim-dinh-cong/hang-hiem-tai-kdtm-69-trieu-90m2-ban-an-pr43048357,"Dự án KĐTM Đại Kim - Định Công, Đường Vành Đai 2,5, Phường Đại Kim, Hoàng Mai, Hà Nội",69 triệu/m²,90 m²,,,Đông - Nam,,Hợp đồng góp vốn,,5 m,"17,5 m",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/gap-re-hon-thi-truong-5-ban-lo-ngoai-giao-nhin-ho-ngam-cong-vien-sieu-vip-city-pr43141344,"Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội","28,6 tỷ",120 m²,4 phòng,5 phòng,Nam,Nam,Hợp đồng mua bán,Không nội thất,8 m,17 m,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-1-ngu-2-ngu-chinh-chu-view-dep-re-phap-ly-ro-rang-tro-vay-80-pr42647132,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,7 tỷ",59 m²,2 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-khuong-mai/thoi-diem-vang-dau-tu-bds-dong-tien-toa-115m2-8-tang-voi-31p-cho-thue-200tr-thang-nga-tu-so-pr42682851,"Phường Khương Mai, Thanh Xuân, Hà Nội",28 tỷ,115 m²,31 phòng,32 phòng,,,Sổ đỏ/ Sổ hồng,,"5,5 m",,8 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/chi-mot-duy-nhat-s5-2pn-1-view-cuc-pham-tang-cao-hiem-co-pr43141310,"Sunshine City, Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,3 tỷ",86 m²,,,Tây - Bắc,Đông - Nam,,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/mo-ban-gd2-my-dinh-quy-dep-chiet-khau-cao-htls-0-pr42333189,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",130 triệu/m²,80 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-trich-sai-phuong-buoi/chinh-chu-can-ban-214m-dat-kem-toa-5-tang-pr42823247,"Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội",83 tỷ,"213,5 m²",9 phòng,9 phòng,,Đông,Sổ đỏ,,10 m,3 m,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-thi-tran-trau-quy-prj-masteri-lakeside/-2n-3n-view-re-dep-nhat-truong-ban-giao-xin-so-nhat-lh-pr43055984,"Dự án Masteri Lakeside, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","4,31 tỷ","72,1 m²",2 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Cơ bản,,,
https://batdongsan.com.vn/ban-dat-xa-ta-thanh-oai/chinh-chu-can-ban-gap-lo-vi-tri-dep-bam-mat-song-hoa-binh-co-hoi-vang-cho-nha-dau-tu-pr43129082,"Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Thỏa thuận,500 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cap-so-do-lau-dai-doi-dien-chung-cu-trung-tam-du-an-lh-pr42715614,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",57 tỷ,168 m²,,,Tây - Bắc,,Sổ đỏ/ Sổ hồng,,7 m,52 m,4 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-ngoc-trai-view-cong-vien-vuon-hoa-du-an-tot-lh-pr43104012,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",21 tỷ,"70,8 m²",,,Đông - Nam,,Sổ đỏ/ Sổ hồng,,"5,9 m",,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-cc-2-27-ty-38m2-1pn-1wc-hang-hiem-tai-gi-hiem-tai-hot-pr43100262,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,15 tỷ",42 m²,1 phòng,1 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/quy-chuyen-nhuong-cap-nhat-moi-nhat-t5-2025-pr43043081,"Chung cư The Wisteria, 32, Di Trạch, Hoài Đức, Hà Nội","4,8 tỷ",73 m²,2 phòng,2 phòng,Đông - Nam,Tây - Bắc,,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/chiet-khau-10-5-mien-2-nam-phi-dich-vu-tang-100tr-quy-dep-du-an-pr43139570,"Dự án Tháp đôi Kepler Land, Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",Thỏa thuận,"82,2 m²",2 phòng,2 phòng,,,Hợp đồng mua bán,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-thi-tran-trau-quy-prj-masteri-lakeside/-mua-buon-re-nhat-ha-noi-vinhomes-ocean-park-lh-nhan-full-chiet-khau-pr43126188,"Dự án Masteri Lakeside, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",4 tỷ,68 m²,2 phòng,2 phòng,,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-viha-complex/quy-ngoai-giao-du-an-leciva-cam-ket-re-nhat-cap-nhat-24-24-pr41967566,"Viha Complex, 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",86 triệu/m²,"72,11 m²",2 phòng,,,Đông - Nam,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/nhung-can-96m-hon-15-ty-duy-nhat-con-lai-gan-cong-vien-ven-song-gia-tot-nhat-ket-ban-zalo-gui-ptg-pr43101468,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",15 tỷ,96 m²,,,,,Hợp đồng mua bán,,8 m,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/gia-tot-t-dan-phuong-song-lap-vuon-141-8-m2-chi-174tr-m2-lh-pr43110328,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",174 triệu/m²,"141,8 m²",,,Tây - Bắc,,Hợp đồng mua bán,Không nội thất,8 m,,4 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/tu-150tr-m2-den-160tr-m2-cap-nhat-bang-gia-quy-can-moi-nhat-ngay-16-05-tai-dan-phuong-pr42991935,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","16,8 tỷ",104 m²,,,,,Sổ đỏ/ Sổ hồng,,8 m,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-yen-so-prj-galia-hanoi/quy-hang-50-lay-truc-tiep-cdt-vip-tu-1-pn-2-pn-3-pn-k-chenh-pr43138344,"Dự án Galia Hanoi, Phường Yên Sở, Hoàng Mai, Hà Nội",78 triệu/m²,45 m²,1 phòng,1 phòng,Nam,Đông - Nam,Hợp đồng mua bán,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/quy-can-gia-re-nhat-tai-co-vang-chi-150-trieu-m2-pr42442462,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",150 triệu/m²,88 m²,,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-paris-vinhomes-ocean-park/-1pn-2pn-3pn-view-be-boi-toa-pr6-cuoi-cung-ck-12-1-gia-lam-pr43084899,"Dự án The Paris - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","3,66 tỷ","64,8 m²",2 phòng,2 phòng,Đông - Bắc,Tây - Nam,Hợp đồng mua bán,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-stu-34-9m2-dttt-31-8-gia-1-55-ty-full-do-xin-dong-nam-city-pr41577034,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Thỏa thuận,32 m²,1 phòng,1 phòng,Đông - Nam,,Sổ đỏ/sổ hồng.,Nội thất cơ bản CĐT.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-view-dep-chinh-chu-ban-cat-lo-tu-300tr-so-do-chinh-chu-mien-phi-mg-tro-vay-toi-70-pr39114589,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,7 tỷ",59 m²,2 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng.,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/doc-quyen-quy-can-de-o-vinhome-hang-chinh-chu-thap-nhat-thi-truong-pr40813376,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",49 tỷ,224 m²,,,Tây - Bắc,,Sổ đỏ/ Sổ hồng,,28 m,,4 tầng
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-tan-hoi-7-prj-vinhomes-wonder-city/can-td-xx-dt-193m2-gia-28-8-ty-lo-goc-view-vuon-hoa-duong-dai-lo-3-mat-tien-via-he-sieu-rong-pr43040231,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","25,8 tỷ",193 m²,,,,,Sổ đỏ/ Sổ hồng,,"14,5 m",,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/tong-p-60-loai-2-3-4-pn-dang-co-nhu-cau-ban-chu-nha-thien-chi-gap-khach-pr39668261,"Goldmark City, 136, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","5,9 tỷ",93 m²,2 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,
