Link,Địa chỉ,Mức giá,Diện tích,Mặt tiền,Nội thất,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Đường vào,Pháp lý
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-cat-lo-ch-1pn-43m2-gia-2-6-ty-tai-nam-tu-liem-ha-noi-pr42765428,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,85 tỷ","42,9 m²",,Đầy đủ nội thất.,1 phòng,,,,Đông - Bắc,,Sổ đỏ.
https://batdongsan.com.vn/ban-nha-rieng-duong-vuong-thua-vu-phuong-khuong-trung/ban-107m2-tai-thanh-xuan-ha-noi-pr43045921,"Ngõ 164, Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",42 tỷ,107 m²,"4,2 m",,4 phòng,4 phòng,4 tầng,Nam,Nam,5 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-tam-trinh-phuong-hoang-van-thu-4-prj-khu-do-thi-vinh-hoang/-vuon-2-mat-tien-o-to-tranh-via-he-112m2-x-05-tang-thang-may-canh-ho-pr37145197,"Dự án KĐT Vĩnh Hoàng, Đường Nguyễn Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",280 triệu/m²,112 m²,,Cơ bản,,,5 tầng,,,,Sổ đỏ
https://batdongsan.com.vn/ban-dat-duong-dong-truc-xa-dong-truc/ban-tai-ngo-18-khoang-khoai-thach-that-ha-noi-giha-noi-gia-tot-50-trieu-m2-pr43045836,"Ngõ 18 khoang mái, Xã Đồng Trúc, Thạch Thất, Hà Nội",50 triệu/m²,"78,5 m²",6 m,,,,,Tây - Nam,,5 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thai-tong-phuong-dich-vong/ban-4-tang-ngo-oto-h-pho-91-96t1m2-mat-tien-5-6m-26-ty-pr41660883,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội",26 tỷ,91 m²,"5,6 m",,4 phòng,,4 tầng,,,6 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-my-dinh-1-prj-the-emerald/tong-p-tat-ca-3-ngu-tai-ct8-gia-tot-lh-pr42745977,"The Emerald, Mỹ Đình 1, Nam Từ Liêm, Hà Nội","6,2 tỷ",90 m²,,Đầy đủ,3 phòng,2 phòng,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-tien-kha-xa-tien-duong/chinh-chu-ban-dong-anh-de-xem-pr42788568,"Đường Tiên Kha, Xã Tiên Dương, Đông Anh, Hà Nội","4,6 tỷ",60 m²,,Đầy đủ,3 phòng,2 phòng,3 tầng,Nam,Nam,2 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-dinh-phuong-giap-bat-prj-nam-do-complex-609-truong-dinh/ban-goc-3-phong-ngu-ct2b-98m2-gia-6-8-ty-so-cam-tay-pr43044015,"Nam Đô Complex 609 Trương Định, Trương Định, Giáp Bát, Hoàng Mai, Hà Nội","6,8 tỷ",98 m²,,Đầy đủ,3 phòng,2 phòng,,Nam,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-32-xa-duc-thuong-prj-tan-viet-tower/-ban-88m-2-ngu-2-wc-ful-noi-that-co-slot-o-to-gia-nhinh-3-ty-pr42866982,"Tân Việt Tower, Đường Quốc lộ 32, Xã Đức Thượng, Hoài Đức, Hà Nội","3,3 tỷ",88 m²,,Đầy đủ,2 phòng,2 phòng,,Tây - Bắc,Tây - Nam,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-binh-vuong-tower/so-huu-ngay-rong-111m-3pn-2wc-gia-c-tot-tline-pr43045930,"Dự án Bình Vượng 200 Quang Trung, Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội","5,35 tỷ","111,3 m²",,Đầy đủ,3 phòng,2 phòng,,Đông - Nam,Tây - Bắc,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-nguyen-chi-thanh-phuong-lang-thuong/ban-162m2-tai-55-ty-gia-sieu-dau-tu-so-nh-chu-giao-dich-ngay-pr43045787,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",55 tỷ,162 m²,"3,5 m",,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-419-xa-hop-tien-2/nhinh-hon-ty-lam-chu-83m2-full-tho-cu-ngay-song-my-ha-thong-khu-dan-cu-dong-duc-pr43045734,"Đường Tỉnh lộ 419, Xã Hợp Tiến, Mỹ Đức, Hà Nội","1,25 tỷ",83 m²,"4,6 m",,,,,,,"3,5 m",Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/-moi-6-tang-ngo-thong-thoang-o-to-qua-nhinh-7-ty-pr43045596,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",Thỏa thuận,31 m²,,Đầy đủ,3 phòng,,6 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-xa-dai-yen-1/ban-gap-2-mat-tien-o-to-tranh-tai-chuong-my-ha-noi-2-6-ty-55m2-chinh-chu-pr43045894,"Xã Đại Yên, Chương Mỹ, Hà Nội","2,6 tỷ",55 m²,"3,6 m",,,,,Nam,,4 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-bamboo-airways-tower/chinh-chu-ban-goc-121m2-thiet-ke-3pn-flc-twin-265-tang-trung-san-so-pr42927128,"Bamboo Airways Tower, 265 Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội","7,4 tỷ",97 m²,,Đầy đủ,2 phòng,2 phòng,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-vuong-thua-vu-phuong-khuong-mai/ban-dep-can-goc-o-to-do-cua-khu-phan-lo-tai-7-ty-25m2-4-tang-mat-tien-4m-pr43045522,"Đường Vương Thừa Vũ, Phường Khương Mai, Thanh Xuân, Hà Nội",7 tỷ,25 m²,4 m,Đầy đủ,,,4 tầng,,,5 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-trung-thanh-thi-tran-trau-quy-prj-hanhomes-blue-star/ban-goc-59m2-2-ngu-2vs-gia-3-2-ty-co-thuong-luong-pr42794022,"Dự án Hanhomes Blue Star, Đường Võ Trung Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","3,2 tỷ",59 m²,,Cơ bản,2 phòng,1 phòng,,Đông - Nam,Tây - Bắc,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-5-xa-hai-boi/ban-dau-gia-x2-dong-nhan-boi-pr35376385,"Đường 5, Xã Hải Bối, Đông Anh, Hà Nội",Thỏa thuận,80 m²,5 m,,,,,,,16 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-5-xa-kim-no/ban-dau-gia-x2-thon-bac-dong-anh-truc-kinh-doanh-pr39393853,"Đường 5, Xã Kim Nỗ, Đông Anh, Hà Nội",Thỏa thuận,75 m²,,,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-pho-trung-liet-phuong-trung-liet/ban-75m2-chinh-chu-tai-rat-gan-am-thuc-nguyen-van-tuyet-pr43045696,"Phố Trung Liệt, Phường Trung Liệt, Đống Đa, Hà Nội",35 tỷ,75 m²,"4,8 m",Cơ bản,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-la-phuong-xuan-la/-a5-100m2-lo-goc-5-8ty-tay-ho-pr42464462,"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội","5,8 tỷ",100 m²,,Đầy đủ,3 phòng,3 phòng,,Bắc,Bắc,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-tam-xa-xa-tam-xa/-dau-gia-thon-dong-huyen-dong-anh-tp-ha-noi-pr37823883,"Đường Tàm Xá, Xã Tàm Xá, Đông Anh, Hà Nội",Thỏa thuận,"108,63 m²",,,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-khuyen-phuong-van-quan-prj-khu-do-thi-moi-van-quan/-4t-dt-231m2-mt10m-55-ty-ha-dong-pr42391506,"Dự án KĐT Văn Quán, Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",55 tỷ,231 m²,10 m,Đầy đủ,5 phòng,5 phòng,4 tầng,Đông - Nam,Đông - Nam,15 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/ban-8-5-ty-160m2-4pn-2wc-huong-db-tay-bac-bac-tu-liem-hn-pr43034160,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","8,5 tỷ",160 m²,,,4 phòng,2 phòng,,Đông - Bắc,Tây - Bắc,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-phu-la-prj-khu-do-thi-moi-van-phu/-xay-tho-3t-ha-dong-dt-206m-mt9-2m-no-hau-oto-tranh-36-ty-pr41760677,"KĐT Văn Phú, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",36 tỷ,206 m²,"9,2 m",,8 phòng,8 phòng,4 tầng,Tây - Bắc,Tây - Bắc,15 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-my-dinh-2-prj-the-zei-my-dinh/em-oanh-chuyen-ban-cc-cap-nhat-quy-cuoi-t5-2025-cam-ket-ko-bao-ao-lh-pr43034707,"The Zei Mỹ Đình, số 8, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","7,6 tỷ",92 m²,,,2 phòng,2 phòng,,Đông - Nam,Đông - Nam,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-quang-dao-phuong-dai-mo-prj-louis-city-dai-mo/-4t-xay-tho-viii-lo-goc-dt200m2-mt10m-52-ty-tu-liem-lh-pr43045730,"Dự án Louis City Đại Mỗ, Đường Lê Quang Đạo, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",52 tỷ,200 m²,10 m,,4 phòng,5 phòng,4 tầng,Tây - Nam,Tây - Nam,12 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-vo-van-kiet-thi-tran-quang-minh/ban-to-7-me-linh-hn-pr43045566,"Đường Võ Văn Kiệt, Thị trấn Quang Minh, Mê Linh, Hà Nội","4,9 tỷ",91 m²,"4,37 m",,,,,Đông,,3 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-trung-thanh-thi-tran-trau-quy-prj-hanhomes-blue-star/ban-2-ngu-1vs-hanmes-61m2-doi-dien-cong-vien-dang-an-thien-vi-tri-dac-dia-nhat-gia-lam-pr42793848,"Dự án Hanhomes Blue Star, Đường Võ Trung Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","3,33 tỷ",61 m²,,Đầy đủ,2 phòng,1 phòng,,Đông - Nam,Tây - Bắc,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-viet-hung-xa-viet-hung-2/ban-dau-gia-x1-thon-trung-dong-anh-gia-4xtr-pr39770384,"Đường Việt Hùng, thôn Trung, Xã Việt Hùng, Đông Anh, Hà Nội",Thỏa thuận,85 m²,5 m,,,,,Nam,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-3-8-xa-duc-tu/ban-dau-gia-1-dong-anh-sat-vanh-dai-3-60m-cau-lien-pr35428623,"Đường 3, Xã Dục Tú, Đông Anh, Hà Nội",Thỏa thuận,90 m²,6 m,,,,,Đông - Nam,,60 m,Sổ đỏ/ Sổ hồng.
https://batdongsan.com.vn/ban-dat-xa-van-hoa-1/lo-re-nhat-tai-ba-vi-ha-noi-cach-truc-chinh-chi-300m-cach-tt-ha-noi-chi-45km-pr43017422,"Xã Vân Hòa, Ba Vì, Hà Nội",2 tỷ,503 m²,,,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-xa-quang-bi/chinh-chu-ban-dep-xuat-sac-tai-3-65-ty-228-m2-phan-lo-tach-thua-trong-not-nhac-pr43045430,"Xã Quảng Bị, Chương Mỹ, Hà Nội","3,65 tỷ",228 m²,"11,5 m",,,,,Bắc,,"2,2 m",Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-mat-pho-duong-dang-xuan-bang-phuong-dai-kim-prj-khu-do-thi-moi-linh-dam/-kinh-doanh-da-nganh-via-he-rong-thenh-thang-tien-7m-quyen-luc-pr40983828,"Dự án KĐT Linh Đàm, Đường Đặng Xuân Bảng, Phường Đại Kim, Hoàng Mai, Hà Nội","28,99 tỷ",75 m²,"6,3 m",,5 phòng,4 phòng,5 tầng,,,,Sổ đỏ/ Sổ hồng.
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-canh-di-phuong-dai-kim-prj-khu-do-thi-dai-kim/lo-goc-dep-nhu-mo-5-tang-phan-lo-kdt-kinh-doanh-view-vuon-hoa-pr40137338,"Dự án KĐT Đại Kim, Đường Nguyễn Cảnh Dị, Phường Đại Kim, Hoàng Mai, Hà Nội","19,5 tỷ",75 m²,"6,5 m",Đầy đủ.,6 phòng,4 phòng,5 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lieu-giai-phuong-ngoc-khanh-prj-vinhomes-metropolis-lieu-giai/gia-dinh-em-ban-nhanh-2pn-tai-vinmes-gia-10-ty-full-noi-that-pr42094695,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",10 tỷ,80 m²,,Đầy đủ,2 phòng,2 phòng,,Tây - Bắc,Đông - Nam,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-xa-an-khanh-4/-3-9-ty-g-o-to-tranh-do-ngo-rong-thoang-pr43044924,"Xã An Khánh, Hoài Đức, Hà Nội","3,9 tỷ",32 m²,3 m,,2 phòng,2 phòng,3 tầng,,,"2,5 m",Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-dong-thien-phuong-linh-nam/sieu-pham-pho-lo-goc-o-to-do-cua-giam-sau-900-trieu-gia-chi-6-5-ty-pr43045460,"Đường Đông Thiên, Phường Lĩnh Nam, Hoàng Mai, Hà Nội","6,5 tỷ",30 m²,"3,8 m",Đầy đủ,3 phòng,4 phòng,5 tầng,,,6 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-dinh-thi-phuong-thuy-khue/vip-ban-7-tang-thang-may-view-ho-tay-lo-goc-2-tien-pr43045248,"Đường Nguyễn Đình Thi, Phường Thụy Khuê, Tây Hồ, Hà Nội","30,5 tỷ",36 m²,"4,7 m",,3 phòng,5 phòng,7 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-tu-khoat-xa-ngu-hiep-1/ban-lo-lo-goc-dep-thanh-tti-dt-77m2-mt-5m-chao-8-8-ty-pr43045449,"Đường Tự Khoát, Xã Ngũ Hiệp, Thanh Trì, Hà Nội","8,8 tỷ",77 m²,5 m,,,,,,,,Sổ đỏ chính chủ
https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-cong-vi/ban-pho-ba-dinh-so-do-chinh-chu-khong-quy-hoach-pr43045388,"Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội","4,85 tỷ",24 m²,,,,,3 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-bui-xuan-phai-phuong-my-dinh-2-prj-khu-do-thi-my-dinh-ii/-mat-pho-200m2-gia-69-ty-pr43045369,"Dự án Mỹ Đình II, Đường Bùi Xuân Phái, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",69 tỷ,200 m²,10 m,Đầy đủ,,,4 tầng,,,20 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tran-phu-phuong-van-quan-prj-song-da-ha-dong-tower/chinh-chu-ban-160m2-vi-tri-c-dia-lo-goc-thuoc-toa-7-2ty-pr43044973,"Dự án Sông Đà Hà Đông Tower, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội","7,2 tỷ",160 m²,,Đầy đủ nội thất.,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-kien-hung-prj-khu-do-thi-thanh-ha-muong-thanh/chinh-chu-gui-ban-3-ngu-noi-that-moi-dep-vao-o-ngay-nha-xin-view-dep-gia-ok-pr43045063,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội","3,15 tỷ",81 m²,,Nội thất mới 100% chủ cũ chỉ vừa set xong đã đổi kế hoạch.,3 phòng,2 phòng,,Đông,Tây,,Hợp đồng mua bán
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-thi-tran-tram-troi-prj-khu-do-thi-moi-lideco-bac-quoc-lo-32/chinh-chu-ban-can-song-lap-245m-2-mat-tien-truoc-sau-gia-36ty-bao-phi-pr43045299,"Lideco, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",36 tỷ,245 m²,12 m,Đầy đủ,4 phòng,2 phòng,5 tầng,Tây,Tây,24 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-pho-pho-hue-phuong-ngo-thi-nham/ban-gap-hai-ba-trung-130m2-mat-tien-khung-8m-gan-ho-guom-gia-cuc-tot-pr42974273,"Phố Phố Huế, Phường Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội","57,9 tỷ",130 m²,8 m,,1 phòng,1 phòng,1 tầng,,,5 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-pho-xa-dan-phuong-phuong-lien/hiem-ban-dong-da-200m2-phan-lo-o-to-2-mat-ngo-mat-tien-23m-re-t-khu-vuc-chi-61-ty-pr42885809,"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",61 tỷ,200 m²,9 m,Đầy đủ,9 phòng,5 phòng,5 tầng,,,10 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thai-tong-phuong-dich-vong/ban-pho-cau-giay-145m2-mt-8m-8-tang-thang-may-via-he-dong-tien-140tr-th-pr42792216,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội",105 tỷ,145 m²,"7,9 m",Đầy đủ,7 phòng,7 phòng,7 tầng,,,8 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-dinh/ban-dat-tang-tan-120m-2-tang-mt-7-1m-via-he-oto-tai-tranh-kinh-doanh-28-8ty-pr43045271,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","28,8 tỷ",120 m²,"7,1 m",,3 phòng,2 phòng,2 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-phuong-van-chuong/ban-tai-dong-da-ha-noi-gia-10-5-ty-56-5-m2-pr42200852,"Phường Văn Chương, Đống Đa, Hà Nội","8,43 tỷ","56,5 m²",,,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-dat-duong-dao-tan-phuong-ngoc-khanh/ban-70m2-9-8-ty-pr43045015,"Ngõ 107, Đường Đào Tấn, Phường Ngọc Khánh, Ba Đình, Hà Nội","9,8 tỷ",70 m²,,,,,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-giai-phong-phuong-thinh-liet/ban-pho-80m2-x-5-tang-thang-may-o-to-tranh-kd-sam-uat-15-ty-pr43044775,"Đường Giải Phóng, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",15 tỷ,80 m²,5 m,,7 phòng,5 phòng,5 tầng,,,10 m,Sổ đỏ/ Sổ hồng
