Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Đường vào,Số tầng
https://batdongsan.com.vn/ban-dat-xa-lien-ninh/ban-nhanh-lo-30m-tai-tdc-thanh-tri-gia-tot-vi-tri-dep-pr43077632,"Xã Liên Ninh, Thanh Trì, Hà Nội","4,5 tỷ",30 m²,,,,Sổ đỏ/ Sổ hồng,,3 m,Nam,12 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-dong-hoi-xa-dong-hoi/lai-da-anh-ngo-nong-thong-oto-tranh-sat-d-tu-lien-tttl-quoc-gia-dau-tu-la-thang-pr42988487,"Đường Đông Hội, thôn Lại Đà, Xã Đông Hội, Đông Anh, Hà Nội","9,89 tỷ",70 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,5 m,,5 m,1 tầng
https://batdongsan.com.vn/ban-dat-xa-co-dong/ban-manh-sieu-pham-thien-ma-vinh-loc-kd-oto-truoc-cua-gia-re-69m-2-5-ty-pr42033250,"Xã Cổ Đông, Sơn Tây, Hà Nội","2,5 tỷ",69 m²,,,,Sổ đỏ/ Sổ hồng,,6 m,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-duy-hung-phuong-trung-hoa-4/toa-10-tang-thang-may-1-ra-pho-vip-thong-san-mat-tien-rong-pr43080284,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","27,5 tỷ",80 m²,14 phòng,15 phòng,,Sổ đẹp,Đầy đủ,"6,6 m",,3 m,10 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-qui-cap-phuong-van-chuong/ho-khau-dong-da-30m2-x-5m-4-tang-lo-goc-kinh-doanh-gara-oto-7-cho-chi-nhinh-9ty-pr43080634,"Đường Trần Quí Cáp, Phường Văn Chương, Đống Đa, Hà Nội","9,5 tỷ",30 m²,3 phòng,,,Sổ đỏ/ Sổ hồng,,5 m,,,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hoa-phuong-dai-kim-prj-chung-cu-x2-dai-kim/bql-gui-ban-mot-so-voi-nhieu-tien-tich-tu-77m-den-122m-gia-tu-48-trieu-m-pr42793000,"Dự án X2 Đại Kim, Đường Trần Hòa, Phường Đại Kim, Hoàng Mai, Hà Nội",51 triệu/m²,86 m²,3 phòng,2 phòng,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-nguyen-khoai-phuong-thanh-tri/ban-manh-dep-pho-hoang-mai-phan-lo-o-to-tranh-via-he-101m2-mt-6-5m-16-ty-pr42946520,"Đường Nguyễn Khoái, Phường Thanh Trì, Hoàng Mai, Hà Nội",16 tỷ,101 m²,,,,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-me-tri-prj-vinhomes-west-point/ban-3pn-ban-cong-dong-nam-toa-w2-view-tthnqg-so-do-lau-dai-pr42720080,"Vinhomes West Point, Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội","9,8 tỷ",100 m²,3 phòng,2 phòng,Đông - Nam,Sổ đỏ/ Sổ hồng.,Cơ bản.,,Tây - Bắc,,
https://batdongsan.com.vn/ban-dat-duong-phu-man-1-xa-phu-man/can-ban-dep-ngo-thong-oto-kd-mat-tien-rong-gia-re-105m-3-25ty-pr41829075,"Đường Phú Mãn, Xã Phú Mãn, Quốc Oai, Hà Nội","3,25 tỷ",105 m²,,,,Sổ đỏ/ Sổ hồng,,"6,8 m",,8 m,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-duong-khue-phuong-mai-dich/ban-quan-cau-giay-lo-goc-2-mat-tien-3-o-to-tranh-via-he-gia-tot-dt155m2-pr42924554,"Đường Dương Khuê, Phường Mai Dịch, Cầu Giấy, Hà Nội",40 tỷ,155 m²,6 phòng,7 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,9 m,,12 m,5 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/ban-kdt-lo-goc-o-to-tranh-dt-130-m-x-4tang-mt-12-m-chao-gia-33ty-pr43078619,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",33 tỷ,130 m²,4 phòng,5 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,12 m,,12 m,4 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-chien-thang-phuong-van-quan/-ha-dong-phan-lo-can-bo-oto-tranh-dt-45m-5-tang-mt-4m-gia-10-5-ti-pr39696857,"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội","12,2 tỷ",50 m²,4 phòng,4 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,,"5,5 m",4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-me-tri-prj-vinhomes-west-point/quy-ban-chuyen-nhuong-tu-1pn-2pn-3pn-4pn-gia-tot-dep-cap-nhat-2025-pr42205671,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Thỏa thuận,70 m²,2 phòng,2 phòng,Đông - Nam,Sổ đỏ/ Sổ hồng,,,Tây - Bắc,,
https://batdongsan.com.vn/ban-dat-xa-tien-xuan/ban-gap-75m-xay-biet-thu-xay-mieu-khu-vuc-hiem-nhinh-4ty-pr41750237,"Xã Tiến Xuân, Thạch Thất, Hà Nội","4,13 tỷ",75 m²,,,,,,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-vinh-ho-phuong-thinh-quang/ban-dien-tich-29m2-buon-ban-kinh-doanh-thuan-loi-pr43078938,"Đường Vĩnh Hồ, Phường Thịnh Quang, Đống Đa, Hà Nội","13,5 tỷ",29 m²,3 phòng,3 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,"3,08 m",,8 m,3 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/quy-1pn-gia-tot-nhat-ocean-park-1-gia-lam-chi-tu-2-9-ty-nguyen-ban-cdt-pr43075243,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội","2,9 tỷ",48 m²,1 phòng,,,Có sổ.,,,Đông - Bắc,,
https://batdongsan.com.vn/ban-dat-duong-dong-hoi-xa-dong-hoi/sieu-hiem-bia-lang-phu-anh-o-to-tranh-thong-so-vang-sat-vin-co-loa-d-tu-lien-pr42988251,"Đường Đông Hội, Xã Đông Hội, Đông Anh, Hà Nội","10,5 tỷ",60 m²,,,,Sổ đỏ/ Sổ hồng,,"5,9 m",,7 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-dich-vong-phuong-dich-vong/ban-toa-chdv-pho-gan-o-to-2-thoang-6-tang-thang-may-20pkk-du-pccc-dt70m2-pr42957197,"Đường Dịch Vọng, Phường Dịch Vọng, Cầu Giấy, Hà Nội","20,5 tỷ",70 m²,20 phòng,21 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,3 m,6 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-yen-so-prj-galia-hanoi/3-8-ty-huu-cao-cap-tai-ang-mai-pr43079305,"Dự án Galia Hanoi, Phường Yên Sở, Hoàng Mai, Hà Nội","3,8 tỷ",58 m²,2 phòng,2 phòng,Tây - Nam,Sổ đỏ/ Sổ hồng.,Cơ bản.,,Đông - Bắc,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thai-hoc-phuong-nguyen-trung-truc/ban-tai-79-ty-163m2-6pn-10wc-8t-pr42677556,"Đường Nguyễn Thái Học, Phường Nguyễn Trung Trực, Ba Đình, Hà Nội",79 tỷ,163 m²,6 phòng,10 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"5,2 m",,26 m,8 tầng
https://batdongsan.com.vn/ban-dat-duong-ho-chi-minh-xa-nam-phuong-tien/ban-lo-tho-cu-gia-re-nhat-chuong-my-pr43080333,"Đường Hồ Chí Minh, Xã Nam Phương Tiến, Chương Mỹ, Hà Nội","1,3 tỷ",52 m²,,,,Sổ đỏ/ Sổ hồng,,,,4 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-ngoc-ha/ban-ba-dinh-mat-ngo-to-nhu-pho-o-to-dung-do-kinh-doanh-dinh-16-ty-pr43079286,"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",16 tỷ,42 m²,,,,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hung-thinh-phuong-yen-so/can-duy-nhat-ban-phan-lo-oto-tranh-x2a-6-tang-thang-may-via-he-kd-vp-pr42679594,"Đường Hưng Thịnh, Phường Yên Sở, Hoàng Mai, Hà Nội","15,95 tỷ",56 m²,4 phòng,5 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,"5,2 m",,15 m,6 tầng
https://batdongsan.com.vn/ban-dat-xa-lai-yen/ban-lo-goc-gia-re-thi-ai-chang-thich-dt-53m-mt-14m-pr43079266,"Xã Lại Yên, Hoài Đức, Hà Nội",Thỏa thuận,53 m²,,,,,,,,9 m,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-mai-dich-phuong-mai-dich/ban-quan-cau-giay-o-to-tranh-via-he-kinh-doanh-sam-uat-cuc-vip-dt46m2-gia-tot-pr42957573,"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội","20,9 tỷ",46 m²,4 phòng,5 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,"3,8 m",,12 m,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-pho-kham-thien-phuong-kham-thien/cat-lo-k1-le-duan-cong-vien-thong-nhat-dong-da-du-do-pr43064833,"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",1 tỷ,42 m²,,,,Sổ hồng,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-mau-luong-phuong-kien-hung/ban-gan-khu-do-thi-xa-la-4-5-tang-gia-5-8-ty-co-thuong-pr43078569,"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội","5,8 tỷ",33 m²,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,1 m",,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/chinh-chu-can-ban-toa-chdv-9-tang-thang-may-lo-goc-3-thoang-28pkk-o-to-vao-nha-pr42854221,"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội","31,8 tỷ",92 m²,27 phòng,26 phòng,,Sổ đỏ/,,"5,68 m",,,9 tầng
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-xien-xa-tan-trieu-prj-rue-de-charme/ban-183m2-gia-thoa-thuan-tai-214-ha-noi-p-nhieu-tien-ich-pr42602241,"Dự án Rue De Charme, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội","31,6 tỷ",93 m²,5 phòng,5 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,14 m,Tây - Bắc,30 m,6 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-duong-noi-prj-khu-do-thi-moi-duong-noi/chinh-chu-chuyen-cong-tac-chuyen-nhuong-lai-86m-nha-tang-trung-huong-mat-view-dep-san-nt-pr43080588,"KĐTM Dương Nội, Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội",Thỏa thuận,86 m²,2 phòng,2 phòng,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Nam,,
https://batdongsan.com.vn/ban-dat-xa-dong-xuan-3/ban-kcn-noi-bai-2-9-ty-102m2-phap-ly-day-du-pr43074951,"Xã Đông Xuân, Sóc Sơn, Hà Nội","2,9 tỷ",102 m²,,,,Sổ đỏ/ Sổ hồng,,"5,3 m",Tây - Bắc,4 m,
https://batdongsan.com.vn/ban-dat-duong-hoang-quoc-viet-phuong-nghia-do-1/ban-xay-ccmn-dt-155m-mt-10m-1-tang-chia-6-phong-vao-4m-gia-hon-20t-pr43080584,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",27 tỷ,155 m²,,,,Sổ đỏ/ Sổ hồng,,"9,9 m",,4 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-2/toa-chdv-vip-dien-tich-rong-120m2-ngo-thong-gia-re-10-so-voi-thi-truong-doanh-thu-cao-on-dinh-pr42989171,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","25,8 tỷ",120 m²,24 phòng,24 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,Tây - Bắc,4 m,8 tầng
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-ke-binh-phuong-cong-vi/ban-a-he-kinh-doanh-xay-building-tri-dinh-dt82m2-x-39-9-ty-pr42979156,"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội","34,9 tỷ",82 m²,5 phòng,5 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,5 m,,12 m,5 tầng
https://batdongsan.com.vn/ban-dat-phuong-tay-tuu/chinh-chu-gui-ban-dv-tiu-duong-oto-tranh-nhau-dt-tu-60-80m2-vi-tri-dep-pr43077222,"Phường Tây Tựu, Bắc Từ Liêm, Hà Nội",Thỏa thuận,60 m²,,,,Đang chờ sổ,,,,,
https://batdongsan.com.vn/ban-dat-xa-tan-tien-16/con-dung-1-lo-duy-nhat-con-sot-lai-pr43080305,"Xã Tân Tiến, Chương Mỹ, Hà Nội","2,65 tỷ",150 m²,,,,Sổ đỏ/ Sổ hồng,,10 m,,14 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/chung-cu-mini-dong-tien-nam-tu-liem-moi-ngay-san-van-dong-pr43078471,"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội","12,5 tỷ",50 m²,9 phòng,9 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,6 m",,,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-bid-residence/ban-cc-ha-dong-ha-noi-dt-61-7m2-hang-hiem-tai-view-dep-gia-dau-tu-pr42813615,"BID Residence, Tố Hữu, La Khê, Hà Đông, Hà Nội",Thỏa thuận,"61,7 m²",2 phòng,2 phòng,Tây - Bắc,Hợp đồng mua bán,Cơ bản,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-linh-duong-phuong-hoang-liet-prj-hh4-linh-dam/-ban-2-ngu-63m2-mai-gia-2-ty-400-trieu-lh-pr43075167,"Dự án HH4 Linh Đàm, Đường Linh Đường, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","2,4 tỷ",63 m²,2 phòng,2 phòng,,Hợp đồng mua bán,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/von-tu-2-ty-so-huu-ngay-2pn-tai-premium-mien-goc-lai-30-thang-tiem-nang-x2-pr43080289,"The Matrix One, Lê Quang Đạo, Mễ Trì, Nam Từ Liêm, Hà Nội",Thỏa thuận,"80,5 m²",2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-buou-phuong-kien-hung-prj-chung-cu-sails-tower/giam-sau-100-trieu-ban-gap-ch-75m-day-du-noi-that-toa-a-song-nhue-ha-dong-pr43079253,"Dự án Sails Tower, Đường Cầu Bươu, Phường Kiến Hưng, Hà Đông, Hà Nội",Thỏa thuận,75 m²,2 phòng,2 phòng,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Bắc,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-la-phuong-phu-la-prj-khu-do-thi-moi-van-phu/chinh-chu-can-ban-gap-ha-dong-dt-50m-5-tang-pr43080324,"Dự án KĐT Văn Phú, Đường Văn La, Phường Phú La, Hà Đông, Hà Nội",Thỏa thuận,50 m²,4 phòng,4 phòng,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,"5,5 m",Tây - Nam,15 m,5 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-mai-phuong-hoang-van-thu-4/chinh-chu-ban-phan-lo-o-to-gan-ho-den-lu-42m2-5-tang-15-2-ty-pr43080558,"Ngõ 299, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội","15,2 tỷ",45 m²,4 phòng,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,2 m",,,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-nghia-do-phuong-nghia-do-1/ban-ct1a-1pn-tai-cau-giay-hn-gia-sieu-hoi-3-8-ty-42m2-bao-dep-pr43080449,"Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","3,8 tỷ",42 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-hoang-liet-prj-vp5-linh-dam/-1-ngu-45m2-mai-noi-that-dep-co-so-do-gia-2-ty-900-trieu-lh-pr43075151,"Dự án VP5 Linh Đàm, Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","2,9 tỷ",45 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/chinh-chu-ban-64m-toa-ct2-kdt-xala-2-ngu-2wc-nha-dep-thoang-mat-phu-hop-gia-dinh-tre-pr43079003,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội","3,11 tỷ",64 m²,2 phòng,2 phòng,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Bắc,,
