Link,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Địa chỉ
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/chinh-chu-ban-cau-giay-vi-tri-mat-ngo-gan-oto-xay-moi-5-tang-31m-mt-5m-pr42317978,"7,6 tỷ","30,5 m²",3 phòng,4 phòng,5 tầng,,,5 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-tien-duong/199-can-ban-gap-manh-sieu-hoi-gia-cuc-hap-dan-dt99m2-chi-hon-60trieu-m2-co-pr42781281,"6,1 tỷ",99 m²,,,,,,5 m,4 m,Sổ đỏ/ Sổ hồng,,"Thôn Cổ Dương, Xã Tiên Dương, Đông Anh, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-van-tien-dung-phuong-minh-khai_1/-dan-xay-36m-4-5-tang-gia-4-3-ty-pr43137889,"4,3 tỷ",36 m²,,,4 tầng,,,"3,3 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Văn Tiến Dũng, Phường Minh Khai, Bắc Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hoang-dao-thuy-phuong-trung-hoa-4-prj-khu-do-thi-trung-hoa-nhan-chinh/gia-tot-nhat-truong-ban-70m2-chi-n-4-ty-lh-pr43002314,"4,5 tỷ",70 m²,2 phòng,1 phòng,,Tây,Đông - Nam,,,Sổ đỏ/ Sổ hồng,,"Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-phuong-hoang-liet/ban-chinh-chu-32m2-canh-ho-khu-do-thi-tay-nam-linh-dam-pr43136616,"6,85 tỷ",32 m²,4 phòng,5 phòng,5 tầng,,,"3,5 m",3 m,Sổ đỏ/ Sổ hồng,,"Phường Hoàng Liệt, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-tu-lien/ban-5-tang-dien-tich-32-5m2-mat-tien-5m-khu-pho-tay-ho-ha-noi-pr43127029,11 tỷ,"32,5 m²",3 phòng,4 phòng,5 tầng,Đông - Nam,Đông - Nam,5 m,2 m,,,"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-tam-trinh-phuong-yen-so/ban-58m2-x-5t-co-thang-may-oto-vao-ngo-254-kd-kha-tot-13-5-ty-chi-mg-3-pr42112964,"14,5 tỷ",58 m²,8 phòng,8 phòng,5 tầng,Đông - Nam,Đông - Nam,,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Ngõ 254 Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-hoang-phuong-my-dinh-2-prj-my-dinh-plaza-2/ban-goc-hoa-hau-3-phong-ngu-huong-mat-tai-plaza2-gia-re-nhat-thi-truong-lh-pr42380207,"7,2 tỷ",102 m²,3 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án Mỹ Đình Plaza 2, Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-chanh-phuong-trung-hoa-4-prj-chung-cu-30t-nam-trung-yen/ban-cc-2pn-2wc-tai-4-1-ty-64-5m2-pr43141526,"4,1 tỷ","64,5 m²",2 phòng,2 phòng,,,,,,Đang chờ sổ,Cơ bản,"Dự án 30T Nam Trung Yên, Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-co-thach-phuong-cau-dien-prj-md-complex-my-dinh/ban-mplex-dt-146-8m2-3pn-2vs-so-lot-xe-l-h-pr41430584,56 triệu/m²,"146,8 m²",3 phòng,2 phòng,,,,,,"- Sổ hồng cất két, sẵn giao dịch.",Đầy đủ.,"Dự án MD Complex Mỹ Đình, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội."
https://batdongsan.com.vn/ban-nha-rieng-duong-me-tri-phuong-me-tri/-lo-goc-gan-cong-vien-chi-6-ti-hon-pr43138423,"6,4 tỷ",30 m²,3 phòng,4 phòng,5 tầng,,,4 m,5 m,Sổ đỏ/ Sổ hồng,Cơ bản,"Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-an-duong-phuong-yen-phu-1/b-5-tg-dien-56-8m2-mat-4m-khu-tay-ho-ha-noi-pr43021886,"12,5 tỷ","56,8 m²",4 phòng,5 phòng,5 tầng,Đông - Bắc,Đông - Bắc,4 m,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-doan-ke-thien-phuong-mai-dich/chi-2-25-ty-co-nha-2-ngu-1-wc-o-to-do-chan-toa-full-noi-that-trung-tam-quan-cau-giay-so-rieng-pr41709356,"2,15 tỷ",55 m²,2 phòng,1 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-chinh-kinh-phuong-nhan-chinh/co-hoi-dau-tu-sieu-loi-nhuan-ccmn-6-tang-thang-may-20-phong-khep-kin-doanh-thu-tren-100tr-pr42747368,Thỏa thuận,60 m²,20 phòng,20 phòng,6 tầng,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-discovery-complex/ban-3-pn-155m2-full-noi-that-chi-10-ty-7-302-lh-pr42195637,"9,7 tỷ",155 m²,4 phòng,3 phòng,,Tây - Bắc,Đông - Nam,,,Hợp đồng mua bán,Cơ bản,"Dự án Discovery Complex, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-dat-tang-2-5-tang-kinh-doanh-o-to-dai-la-bach-mai-truong-dinh-85m-via-he-pr43002334,22 tỷ,85 m²,,,3 tầng,,,,,Sổ đỏ,,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-tu-lien-phuong-tu-lien/ban-5-tang-dien-tich-38m2-mat-tien-5m-khu-pho-tay-ho-ha-noi-pr41945344,"8,3 tỷ",37 m²,4 phòng,5 phòng,5 tầng,Đông - Nam,Đông - Nam,5 m,2 m,Sổ đỏ/ Sổ hồng,Cơ bản,"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tam-trinh-phuong-mai-dong-1-prj-helios-tower-75-tam-trinh/5-1-ty-ban-2pn-70m2-tai-75-lh-pr43118959,"5,1 tỷ",70 m²,2 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Nội thất full.,"Helios Tower 75 Tam Trinh, 75, Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ham-nghi-phuong-cau-dien-prj-khu-do-thi-my-dinh-i/ban-a4-1-nam-tu-liem-dt-126m2-3-ngu-lh-pr40171953,"6,1 tỷ",126 m²,3 phòng,2 phòng,,,,,,,"Đã có đầy đủ thiết bị bàn bếp, tủ bếp, hút mùi, ngoài ra sàn gỗ đã lát tất cả các phòng, trần thạch cao tất cả các phòng, 3 điều hòa, 2 nóng lạnh. Gồm giường tủ, sofa.","Dự án Mỹ Đình I, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-van-phuc-phuong-van-phuc-1/ban-gap-nr-16-9-ty-62m2-5pn-5wc-oto-tranh-vao-lam-viec-chinh-chu-ha-dong-pr42930993,"16,9 tỷ",62 m²,5 phòng,5 phòng,6 tầng,,,5 m,5 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-nghia-do-1/-lo-goc-2-mat-tien-ngo-o-to-tranh-kinh-doanh-thong-cac-nga-gan-ho-tay-pr43097167,"15,8 tỷ",58 m²,,,,,,"4,2 m",6 m,Sổ đỏ/ Sổ hồng,,"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-dong-my_1/ban-my-thanh-tri-60m2-mat-duong-thong-kinh-doanh-o-to-tranh-gia-chi-hon-5-ty-pr43135978,"5,4 tỷ",60 m²,,,,,,,,,,"Xã Đông Mỹ, Thanh Trì, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-lang-ha-prj-green-diamond-93-lang-ha/nhuong-2-ngu-91m-nguyen-ban-chua-chinh-sua-moi-100-du-an-diamond-pr41425463,11 tỷ,"91,8 m²",2 phòng,,,,Tây - Bắc,,,,,"Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-minh-khai-phuong-minh-khai/-hiem-mt-6m-ngo-o-to-tai-tranh-kinh-doanh-3-buoc-ra-mp-nhinh-9ty-pr43069309,"9,5 tỷ",35 m²,,,,,,6 m,"7,5 m",Sổ đỏ,,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duong-van-be-phuong-vinh-tuy-prj-sunshine-garden/-cao-cap-107m-3pn-noi-that-cao-cap-full-tien-ich-hiem-nhinh-7ty-pr42295669,"7,66 tỷ",107 m²,3 phòng,2 phòng,,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-131-xa-bac-phu/ban-truc-chinh-to-rong-100m2-full-tc-vong-phu-pr42697922,25 triệu/m²,100 m²,,,,Nam,,"5,28 m",7 m,Sổ đỏ/ Sổ hồng,,"Bắc Vọng, Đường Tỉnh lộ 131, Xã Bắc Phú, Sóc Sơn, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-thuy-huong-1/ban-60m2-tai-c-my-ha-noi-3-3-ty-pr43134451,"3,3 tỷ",60 m²,,,,,,"4,45 m",4 m,Sổ đỏ/ Sổ hồng,,"Xã Thụy Hương, Chương Mỹ, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-vu-ngoc-phan-phuong-lang-ha/ban-lo-pr42220747,21 tỷ,50 m²,7 phòng,6 phòng,8 tầng,,,"5,8 m",10 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-nguyen-chinh-phuong-thinh-liet/ban-tang-nha-2-tang-hoang-mai-121m-pr43116811,20 tỷ,121 m²,,,,Đông - Nam,,"6,5 m",3 m,Sổ đỏ/ Sổ hồng.,,"Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-ton-duc-thang-phuong-hang-bot-1/chinh-chu-chao-ban-dep-dong-da-full-noi-that-o-ngay-pr43126255,"6,15 tỷ",29 m²,3 phòng,3 phòng,4 tầng,Đông - Bắc,Đông - Bắc,"3,4 m",2 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-du-noi-xa-mai-lam/cc-gui-ban-manh-dep-dau-gia-9-05-ty-dt-74-1m2-mat-tien-8m-ngo-7m-phap-ly-day-pr42491844,"9,6 tỷ","74,1 m²",,,,,,8 m,7 m,Sổ đỏ/ Sổ hồng,,"Đường Du Nội, Xã Mai Lâm, Đông Anh, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-binh-yen-1/100m2-tai-dinh-cu-linh-son-ngay-cong-nghe-cao-va-lang-dhqg-hoa-lac-gia-3-850-ty-lo-pr43143241,"3,85 tỷ",100 m²,,,,Tây - Bắc,,4 m,7 m,Sổ đỏ/ Sổ hồng,,"Xã Bình Yên, Thạch Thất, Hà Nội"
https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-quoc-viet-phuong-nghia-do-1/ban-270m-tien-10m-8-tang-thang-may-pr42444735,134 tỷ,270 m²,,,8 tầng,,,11 m,,Sổ đỏ/ Sổ hồng,,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-co-nhue-1-prj-chung-cu-h9-ct1-starlake/chinh-chu-ban-toa-902-2pn-tang-dep-gia-net-13-7t-sdcc-slot-oto-lh-pr42816972,"13,7 tỷ",97 m²,2 phòng,,,Bắc,Nam,,,Sổ đỏ/ Sổ hồng,,"Dự án Chung cư H9-CT1 Starlake, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-trang-viet/chinh-chu-ban-lo-tai-dong-cao-me-linh-pr42852701,Thỏa thuận,110 m²,,,,,,"5,54 m",,Sổ hồng,,"Thôn Đông Cao, Xã Tráng Việt, Mê Linh, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-kim-hoa-1/-dau-gia-bach-da-don-song-dau-tu-sinh-loi-ben-vung-pr42529444,Thỏa thuận,100 m²,,,,,,,,,,"Xã Kim Hoa, Mê Linh, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-flc-complex-36-pham-hung/ban-ch-dep-tai-36-6-8-ty-97m2-3n2w-san-so-co-slot-pr42991642,"6,8 tỷ",97 m²,3 phòng,2 phòng,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"FLC Complex 36 Phạm Hùng, Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-nhat-chieu-phuong-quang-an-2/ban-t-tay-ho-160m-x-mt-11m-gara-o-to-dep-3-thoang-pr41028678,45 tỷ,160 m²,,,4 tầng,,,11 m,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Nhật Chiêu, Phường Quảng An, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-1a-xa-lien-ninh/yen-phu-ban-dat-tang-cap-4-42m2-o-to-kinh-doanh-pr43135961,"5,5 tỷ",42 m²,1 phòng,1 phòng,1 tầng,,,,3 m,,,"Đường Quốc lộ 1A, Xã Liên Ninh, Thanh Trì, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-linh-phuong-thach-ban-1-prj-elegant-park-villa-thach-ban/-4-tang-30ty-136m2-pr42859117,"28,9 tỷ",136 m²,4 phòng,6 phòng,4 tầng,Tây - Bắc,Tây - Bắc,8 m,"7,5 m",Sổ đỏ/ Sổ hồng,Không nội thất,"Dự án Elegant Park Villa Thạch Bàn, Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-vo-chi-cong-phuong-xuan-la/ban-c-thue-quan-tay-55m2x7t-mt5m-dt-90-trieu-15-8-ty-pr43140170,"15,8 tỷ",55 m²,16 phòng,16 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/ban-5-tang-vi-tri-dep-t-pho-o-to-do-cua-vai-buoc-chan-la-toi-bai-gui-xe-24-7-pr43137410,"6,15 tỷ",30 m²,3 phòng,4 phòng,5 tầng,,,"4,8 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-binh-minh-xa-binh-minh-13/ban-dep-tai-thanh-oai-ha-noi-3-3-ty-45m2-pr42930941,"3,3 tỷ",45 m²,4 phòng,3 phòng,4 tầng,,,4 m,3 m,,,"Đường Bình Minh, Xã Bình Minh, Thanh Oai, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/lo-bt-re-t-huong-dn-so-do-n-ngay-4-tang-1-ham-duong-17-5m-gia-50-ty-pr42929125,50 tỷ,140 m²,5 phòng,5 phòng,4 tầng,Đông - Nam,Đông - Nam,7 m,"17,5 m",Sổ đỏ/ Sổ hồng,,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-vinh-ninh-xa-vinh-quynh/ban-thanh-tri-53m-5t-5-9-ty-pr43139053,"5,95 tỷ",53 m²,4 phòng,5 phòng,4 tầng,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Phố Vĩnh Ninh, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-mai-phuong-hoang-van-thu-4/chung-cu-mini-dong-tien-lo-goc-3-thoang-thang-may-14-phong-khep-kinh-70tr-th-hang-hot-hn-so-dep-pr43140093,"16,49 tỷ",66 m²,14 phòng,14 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/suat-ngoai-giao-lo-goc-duong-13m-gan-tl422-gan-vinschool-dien-tich-112m2-gia-21-ty-pr43057358?c=d1,22 tỷ,112 m²,,,,,,,13 m,,,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-quyen-phuong-la-khe/hiem-co-kho-tim-7-3-ty-32m2-5-tang-mt-4-2m-ha-dong-phan-lo-quan-doi-o-to-pr43143232,"7,3 tỷ",32 m²,3 phòng,4 phòng,5 tầng,,,"4,2 m",,Sổ đỏ/ Sổ hồng,,"Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-huyen-phuong-nghia-do-1/ban-quan-cau-giay-pho-phan-lo-o-to-thang-may-dan-xay-60m2-6-tang-pr43044183,17 tỷ,60 m²,4 phòng,,4 tầng,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Nguyễn Văn Huyên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-phuong-nghia-do-1/ban-nguyen-can-tai-pho-lac-long-quan-95m-mt-9m-ngo-o-to-tranh-ba-mat-thoang-pr42834202,34 tỷ,95 m²,,,,,,9 m,,Sổ đỏ/ Sổ hồng,,"Phường Nghĩa Đô, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-dat-xa-van-khe/ban-dau-gia-x3-ngoai-me-linh-92-5m-so-do-day-du-san-sang-giao-dich-pr42150222,Thỏa thuận,"92,5 m²",,,,,,5 m,7 m,,,"Xã Văn Khê, Mê Linh, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-xa-an-khanh-4-prj-khu-a-d-geleximco-le-trong-tan/can-goc-vuon-hoa-163m2-thiet-ang-btsl-co-loi-phong-thuy-nhe-gia-chi-23-5-ty-tai-geleximco-pr42419742,"23,5 tỷ",163 m²,,,,,,"9,5 m",,,,"Dự án Khu A, D - Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội"
https://batdongsan.com.vn/ban-loai-bat-dong-san-khac-duong-thanh-nhan-phuong-thanh-nhan/ban-can-ho-tap-the-hai-ba-trung-38-90m-5-ty-pr43140181,5 tỷ,40 m²,3 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,"Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-ha-phuong-trung-liet/ban-mat-ngo-to-dep-t-70m2-8-tang-31-5-ty-pr43139052,"31,5 tỷ",70 m²,,,8 tầng,,,5 m,,,,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-huynh-cung-xa-tam-hiep-6/ban-dau-gia-79m-den-91m-nhinh-60tr-m-17m-via-he-pr38381191,Thỏa thuận,79 m²,,,,Đông - Nam,,6 m,17 m,Sổ đỏ/ Sổ hồng,,"Đường Huỳnh Cung, Xã Tam Hiệp, Thanh Trì, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-tao/ban-tai-bac-tu-liem-ha-noi-12-2-ty-64-m2-pr43135916,"12,2 tỷ",64 m²,4 phòng,3 phòng,4 tầng,,,"4,5 m",5 m,Sổ đỏ/ Sổ hồng,,"Đường Xuân Đỉnh, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/lk-kdt-80m2-5-tang-o-to-tranh-kinh-doanh-pr43139743,17 tỷ,80 m²,6 phòng,5 phòng,5 tầng,,,6 m,,Sổ đỏ/ Sổ hồng,,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội"
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-doan-van-minh-phuong-viet-hung-2/ban-gap-35-ty-167m2-4pn-4wc-chinh-chu-pr41871967,40 tỷ,167 m²,4 phòng,4 phòng,3 tầng,Tây - Nam,Tây - Nam,10 m,7 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Đoàn Văn Minh, Phường Việt Hưng, Long Biên, Hà Nội"
