Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Pháp lý,Hướng ban công,Nội thất,Hướng nhà
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-sao-bien-15-gan-cong-vien-gan-bien-tai-oceanpark-1-lam-pr43104598,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","17,5 tỷ",89 m²,,,4 tầng,"7,5 m",13 m,Sổ đỏ/ Sổ hồng.,,,Tây - Bắc
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/c-b-huong-dong-nam-phap-ly-so-do-lh-pr42822470,"Dự án An Quý Villa - KĐT Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội","32,5 tỷ",182 m²,5 phòng,5 phòng,4 tầng,9 m,"11,5 m",Sổ đỏ/ Sổ hồng,Đông - Nam,Không nội thất,Đông - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-my-dinh-2-prj-the-zei-my-dinh/chinh-chu-ban-gap-2-ngu-toa-b-ban-cong-dong-nam-tang-full-do-gia-7-5-ty-pr42734702,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","7,5 tỷ",92 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-dinh/-bac-tu-liem-ba-gac-do-cua-6-phong-vua-o-vua-cho-thue-56m2-64m2t2-5-5-tang-8-ty-pr40861090,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","8,5 tỷ",56 m²,6 phòng,7 phòng,6 tầng,"4,1 m",,Sổ đỏ/ Sổ hồng,Nam,Cơ bản,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/hiem-co-goc-tang-cao-view-dep-nhat-du-an-full-that-tiem-nang-sinh-loi-cao-pr43069662,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",Thỏa thuận,"113,2 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,,Đầy đủ nội thất cao cấp.,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/sieu-hiem-goc-3pn-view-be-boi-full-that-dang-cho-thue-tot-pr43069606,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",Thỏa thuận,"113,21 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-prj-mipec-rubik-360/chinh-chu-ban-gap-2-ngu-toa-a-ban-cong-dong-nam-tang-full-do-gia-6-5-ty-pr42732262,"Dự án Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","6,5 tỷ",80 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-prj-the-park-home/-ban-gap-2pn-me-full-noi-that-xin-80m-ban-cong-dong-vao-o-ngay-pr42330122,"Dự án The Park Home, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội","7,5 tỷ",80 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-do-prj-my-dinh-pearl/-ban-gap-giam-ngay-500-trieu-2-ngu-80m-tai-full-noi-that-cao-cap-pr42526165,"Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội","5,9 tỷ",80 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-my-dinh-1-prj-the-emerald/giam-ngay-500-trieu-2-ngu-dep-nhat-toa-e3-ct8-full-noi-that-nhap-khau-o-ngay-pr42545099,"Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội","5,5 tỷ",78 m²,2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-dinh/-ngo-thong-o-to-cho-thang-may-2-thoang-dep-mong-7-tang-70-m2x-4-tang-13-5-ty-pr41497782,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","13,5 tỷ",70 m²,4 phòng,4 phòng,4 tầng,5 m,3 m,Sổ đỏ/ Sổ hồng,,Đầy đủ.,
https://batdongsan.com.vn/ban-nha-rieng-pho-vu-tong-phan-phuong-khuong-dinh/-hiem-thanh-xuan-mat-ngo-o-to-tranh-kd-sam-uat-40m-ra-mat-36m2-mt-4m-chi-7-7-ty-pr43106345,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội","7,7 tỷ",36 m²,,,1 tầng,4 m,6 m,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-my-dinh-1-prj-the-emerald/ban-gap-vi-tri-dep-dong-tien-on-60-trieu-thang-so-do-lau-dai-pr43061906,"Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",15 tỷ,150 m²,,,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nam-du-phuong-linh-nam/ban-pho-hoang-mai-o-to-do-cua-so-35m-5-tang-gia-7-4-ty-con-tl-pr43125654,"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội","7,4 tỷ",35 m²,3 phòng,4 phòng,5 tầng,,,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-that-thuyet-phuong-dich-vong-hau-prj-sky-park-residence/chua-boc-seal-goc-3-phong-ngu-moi-nguyen-ban-so-do-lau-dai-gia-tot-pr42351317,"Sky Park Residence, Tôn Thất Thuyết, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Thỏa thuận,128 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-prj-the-park-home/chinh-chu-ban-vip-dep-5-ngu-toa-tang-full-do-nhap-khau-xin-goc-300m-gia-22-ty-pr41260261,"Dự án The Park Home, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Thỏa thuận,300 m²,5 phòng,4 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,,
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-ha-phuong-trung-liet/sieu-hiem-lo-goc-gan-ngo-ba-gac-cho-thue-kd-tot-4t-32m2-mt-4-8m-du-noi-tt-chi-8-5-ty-pr43007197,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội","8,5 tỷ",32 m²,3 phòng,3 phòng,4 tầng,"4,8 m",3 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-pho-van-phuc-phuong-van-phuc-1/hot-hoa-hau-dt-31m-mt-3-1m-5-tang-thang-may-full-noi-that-gia-7-ty-pr42938181,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",Thỏa thuận,31 m²,3 phòng,4 phòng,5 tầng,"3,1 m",3 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-pho-yen-duyen-phuong-yen-so/ban-5-tang-du-40m2-6-9-ty-gan-pho-pr43125705,"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội","6,9 tỷ",40 m²,6 phòng,4 phòng,5 tầng,"3,5 m",,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-dat-duong-quoc-lo-6-xa-lam-dien/ban-tho-cu-chuong-my-pr43103572,"Thôn Lam Điền, Đường Quốc lộ 6, Xã Lam Điền, Chương Mỹ, Hà Nội",24 triệu/m²,108 m²,,,,,3 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phuc-la-prj-khu-do-thi-moi-van-quan/phan-lo-kdt-trung-tam-ha-dong-thoang-truoc-sau-66m2-mt-4-2-m-gia-18-5-ty-pr43011125,"Dự án KĐT Văn Quán, Phường Phúc La, Hà Đông, Hà Nội","18,5 tỷ",66 m²,,,4 tầng,"4,2 m",15 m,Sổ đỏ.,,,
https://batdongsan.com.vn/ban-dat-duong-nhan-xa-xuan-non/can-ban-70-6m2-bia-lang-thon-dong-anh-8m-ngo-thong-gia-73-5tr-m2-pr42789682,"Đường Nhạn, Xã Xuân Nộn, Đông Anh, Hà Nội","73,5 triệu/m²","70,6 m²",,,,4 m,8 m,Sổ đỏ/ Sổ hồng,,,Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-quoc-vuong-phuong-dich-vong-hau-prj-ha-noi-paragon/chu-n-ban-gap-goc-3-pn-107-m2-full-tt-cc-cau-giay-pr42343307,"Dự án Hà Nội Paragon, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","7,3 tỷ","107,7 m²",3 phòng,2 phòng,,,,Hợp đồng mua bán,Bắc,Đầy đủ,Nam
https://batdongsan.com.vn/ban-dat-duong-phu-do-phuong-my-dinh-1/chinh-chu-ban-tai-75-ty-240m2-mat-tien-22m-hang-hiem-gia-tot-oto-chay-quanh-pr42830299,"Đường Phú Đô, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Thỏa thuận,360 m²,,,,36 m,,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-trung-van-prj-nha-o-xa-hoi-nhs-trung-van/chinh-chu-ban-thuong-mai-3pn-to-huu-dt-96m-san-so-full-noi-that-gia-5-9-ty-pr43030509,"Nhà ở xã hội NHS Trung Văn, Trung Văn, Nam Từ Liêm, Hà Nội","5,9 tỷ",96 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,Tây - Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-dinh-prj-n03-t3-t4-ngoai-giao-doan/chinh-chu-ban-3pn-2wc-full-do-moi-xin-toa-n03t3-view-ho-pr42552931,"Dự án N03-T3&T4 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Thỏa thuận,"111,7 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-tao-prj-n01-t2-ngoai-giao-doan/chinh-chu-ban-goc-4pn-2wc-141m-full-do-toa-n01t2-9-5-ty-pr41234094,"Dự án N01-T2 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội","9,5 tỷ",141 m²,4 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Bắc,,Nam
https://batdongsan.com.vn/ban-nha-rieng-xa-an-khanh-4/b-5-tg-khh-hoai-duc-ngo-thong-g-oto-5-9-ty-pr43125698,"Xã An Khánh, Hoài Đức, Hà Nội","5,9 tỷ",45 m²,4 phòng,4 phòng,5 tầng,,2 m,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-khuong-thuong/-chu-ccmn-thang-may-103m-7t-28pn-full-nt-dt-140tr-thang-pccc-an-toan-pr43116987,"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội","20,7 tỷ",103 m²,28 phòng,28 phòng,7 tầng,7 m,,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-seasons-avenue/chinh-chu-ban-season-ha-dong-dt-108m-3ngu-day-du-noi-that-gia-that-6-8-ty-pr42983218,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội","7,9 tỷ",116 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,Tây - Bắc
https://batdongsan.com.vn/ban-nha-rieng-pho-thai-ha-phuong-trung-liet/ban-dep-sieu-pm-5t-tng-may-oto-ngu-trong-khu-vuc-dan-tri-cao-an-ninh-tot-pr42986809,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội","16,95 tỷ",50 m²,4 phòng,4 phòng,5 tầng,4 m,"4,5 m",Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-giot-phuong-la-khe/ban-ha-dong-dt-41m-5-tang-mt-4-9m-hon-9ty-chi-20m-ra-cho-bong-do-pr42948718,"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",Thỏa thuận,41 m²,3 phòng,4 phòng,5 tầng,5 m,4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-dinh-man-phuong-la-khe/ban-ha-dong-oto-vao-dt-33m-5-tang-mt-5-5m-hon-6-9ty-pr42950499,"Đường Ngô Đình Mẫn, Phường La Khê, Hà Đông, Hà Nội",Thỏa thuận,33 m²,3 phòng,4 phòng,5 tầng,"5,5 m",4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-loi-1-phuong-ha-cau/-dep-trung-tam-dong-dt-33m-5-tang-mt-3-5m-6-ty-pr42986951,"Đường Lê Lợi, Phường Hà Cầu, Hà Đông, Hà Nội",6 tỷ,33 m²,3 phòng,4 phòng,5 tầng,"3,5 m",4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-dat-xa-binh-phu-9/chinh-chu-can-ban-lo-50m2-tai-phu-pr42085687,"Bình Phú, Thạch Thất, Hà Nội","2,5 tỷ",50 m²,,,,"5,5 m",5 m,Sổ đỏ/ Sổ hồng,,,Tây
https://batdongsan.com.vn/ban-nha-rieng-pho-phung-hung-1-phuong-kien-hung/ban-duong-ha-dong-hoa-hau-dt60m-3-tang-2-mat-thoang-oto-vao-10ty-pr42833606,"Phố Phùng Hưng, Phường Kiến Hưng, Hà Đông, Hà Nộii",Thỏa thuận,60 m²,4 phòng,3 phòng,3 tầng,5 m,5 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-phung-hung-1-phuong-phuc-la/-ha-dong-dep-o-ngay-lo-goc-hai-thoang-gan-oto-dt-50m-5-tang-mt-4-5m-9ty-pr42943076,"Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",9 tỷ,50 m²,4 phòng,4 phòng,5 tầng,"4,5 m",4 m,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-la-khe/hoa-hau-ngo-12-ha-dong-dt-50m-4-tang-mt-4m-hon-7-ty-pr42986226,"Ngõ 12, Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội",Thỏa thuận,50 m²,4 phòng,3 phòng,4 tầng,4 m,4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/ban-gap-2pn-2wc-55m2-gia-4-145-ty-bao-phi-lh-pr43125633,"Lumi Hanoi, Đại lộ Thăng Long, Tây Mỗ, Nam Từ Liêm, Hà Nội","4,15 tỷ",55 m²,2 phòng,2 phòng,,,,Hợp đồng mua bán,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-cau-am-phuong-van-phuc-1/ban-chinh-chu-ha-dong-2-mat-ngo-dt-30m-mt-3m-5-tang-full-noi-that-gia-7-ty-pr42938503,"Phố Cầu Am, Phường Vạn Phúc, Hà Đông, Hà Nội",7 tỷ,30 m²,5 phòng,3 phòng,5 tầng,3 m,4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-khuyen-phuong-van-quan/ban-35m2-gia-thoa-thuan-3pn-4wc-tai-ha-dong-hn-pr42772681,"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",Thỏa thuận,35 m²,3 phòng,4 phòng,5 tầng,,4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-phu-phuong-van-quan/hoa-hau-ha-dong-35m2-5-tang-chi-hon-6-ty-dep-ngo-thong-pr42771070,"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",Thỏa thuận,35 m²,3 phòng,4 phòng,5 tầng,,4 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-mat-pho-phuong-quan-thanh/-loi-ba-dinh-170m2-7-tang-tien-10m-105-ty-co-ham-pr43060066,"Phường Quán Thánh, Ba Đình, Hà Nội",105 tỷ,170 m²,7 phòng,8 phòng,7 tầng,10 m,15 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-lac-long-quan-phuong-xuan-la/-view-ho-tay-canh-uy-130-m2-5-tang-mt-5-1m-kinh-doanh-tot-gia-59-5-ty-con-bot-pr43115514,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội","59,5 tỷ",130 m²,5 phòng,5 phòng,5 tầng,"5,1 m",12 m,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-phuong-phu-thuong-1-prj-toa-nha-hon-hop-vuon-dao/thong-tin-chuan-noi-lanh-chuc-an-ninh-tot-124-5-ty-pr43019268,"Vườn Đào, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội","124,5 tỷ",206 m²,5 phòng,5 phòng,5 tầng,15 m,12 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-dat-duong-nguyen-gia-bong-phuong-ngoc-thuy/ban-112m-pho-keo-dai-40m-o-va-kinh-doanh-tot-29-4-ty-pr42975126,"Đường Nguyễn Gia Bồng, Phường Ngọc Thụy, Long Biên, Hà Nội","29,4 tỷ",112 m²,,,,"5,5 m",40 m,Sổ đỏ,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-khuong-ha-phuong-khuong-dinh/ban-xay-moi-mat-ngo-oto-tranh-tng-may-dt-50m2-x-7-tang-mt-4-8m-gia-15-ty-con-tl-pr43077341,"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội","15,5 tỷ",50 m²,3 phòng,5 phòng,7 tầng,"4,8 m",,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-tonkin-vinhomes-smart-city/chinh-chu-ban-2pn-1-dt-71-9m-gia-cat-lo-5-39-ty-toa-tokin-2-san-so-full-do-tang-view-cuc-dep-pr43125676,"Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5,39 tỷ","71,9 m²",2 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-nghia-tan-3/ban-phan-lo-o-to-tranh-mat-tien-khung-5-3m-65m2-18-3-ty-pr42980125,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội","18,3 tỷ",65 m²,,,,"5,3 m",,Sổ đỏ/ Sổ hồng,,,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-pho-quan-nhan-phuong-nhan-chinh/hon-9-ty-co-dep-n-45m-x-4-tang-20m-gap-o-to-view-truong-hoc-sieu-thoang-pr43125675,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội","9,8 tỷ",45 m²,4 phòng,4 phòng,4 tầng,,"2,5 m",Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-phuong-phu-thuong-1-prj-toa-nha-hon-hop-vuon-dao/thong-tin-chuan-khu-chuc-an-ninh-tot-230m2-5-tang-mt-13m-gia-128-ty-pr43009882,"Vườn Đào, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội","127,99 tỷ",230 m²,5 phòng,5 phòng,5 tầng,13 m,12 m,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-phuc-lai-phuong-o-cho-dua/-toa-chdv-12-ng-dong-tien-tot-70-trieu-thang-gan-ngo-thong-57m-7t-pr43125091,"Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","14,3 tỷ",57 m²,12 phòng,12 phòng,7 tầng,7 m,,Sổ đỏ/ Sổ hồng,,Đầy đủ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-dang-ninh-phuong-dich-vong-prj-hancorp-plaza/thong-tin-that-anh-that-gia-chuan-ban-chcc-97-1m2-3-ngu-2vs-7-5-ty-tai-handcorp-ninh-pr43117669,"Hancorp Plaza, Đường Trần Đăng Ninh, Phường Dịch Vọng, Cầu Giấy, Hà Nội","7,5 tỷ","97,1 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,Tây - Bắc
https://batdongsan.com.vn/ban-nha-mat-pho-duong-ho-tung-mau-phuong-mai-dich/toa-view-9-tang-thang-may-lo-goc-80m2-tien-6m-kinh-doanh-van-ng-gia-51-ty-pr43030178,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",51 tỷ,80 m²,7 phòng,7 phòng,9 tầng,6 m,15 m,,,Cơ bản,
https://batdongsan.com.vn/ban-nha-rieng-duong-truong-lam-phuong-duc-giang-2/-dep-pho-dan-xay-5-tang-cau-thang-may-o-to-do-cua-thong-cac-nga-day-du-tien-ich-pr41378941,"Đường Trường Lâm, Phường Đức Giang, Long Biên, Hà Nội","10,3 tỷ",53 m²,,,5 tầng,5 m,"3,5 m",Sổ đỏ/ Sổ hồng.,,Đầy đủ,Tây - Nam
